대중교통,역(정류장),호선명,노선(수),x_좌표,y_좌표,지하철_여부,버스_여부,따릉이_여부,동_이름,GID,NODE_ID,주소,도로명,버스정류장ARS번호,총승차인원,총하차인원
버스,금호삼성래미안,,1,127.0269818,37.54787691,N,Y,N,금호동4가,11200112,105000463.0,서울 성동구 금호동4가 96,서울특별시 성동구 독서당로 342 (금호동4가),,,
버스,금호삼성래미안,,1,127.0275354,37.54836158,N,Y,N,금호동4가,11200112,105000462.0,서울 성동구 금호동4가 89-11,-,,,
버스,금호어린이집,,1,127.018232,37.556743,N,Y,N,금호동2가,11200110,103900059.0,서울 성동구 금호동2가 1,"서울특별시 성동구 금호로 173 (금호동2가, 신금호파크자이)",4684.0,3.0,908.0
버스,금호어린이집,,1,127.01862,37.556734,N,Y,N,금호동2가,11200110,103900068.0,서울 성동구 금호동2가 산 9-1,서울특별시 성동구 금호산15길 15 (금호동2가),4522.0,182.0,48.0
버스,금호역,,2,127.0155079,37.54850311,N,Y,N,금호동3가,11200111,103000057.0,서울 성동구 금호동3가 1583,-,4156.0,17311.0,6427.0
버스,금호역,,2,127.016267,37.547728,N,Y,N,금호동4가,11200112,103000056.0,서울 성동구 금호동4가 1418-22,-,4155.0,14324.0,30232.0
버스,금호역,,1,127.0164273,37.54842402,N,Y,N,금호동4가,11200112,103900003.0,서울 성동구 금호동4가 1445-1,-,4764.0,15195.0,300.0
버스,금호역,,4,127.0169909,37.54854922,N,Y,N,금호동4가,11200112,103900139.0,서울 성동구 금호동3가 1395,서울특별시 성동구 장터길 9-1 (금호동3가),4762.0,18917.0,41763.0
버스,금호역.3호선,,2,127.0166253,37.54829423,N,Y,N,금호동4가,11200112,103900002.0,서울 성동구 금호동4가 1450,-,4765.0,19485.0,2155.0
버스,금호역.두산상가경비실,,2,127.0166208,37.54861301,N,Y,N,금호동4가,11200112,103900140.0,서울 성동구 금호동3가 1331,"서울특별시 성동구 동호로 100 (금호동3가, 두산아파트)",4763.0,5978.0,3475.0
버스,금호정형외과,,1,127.0204579,37.55408677,N,Y,N,금호동2가,11200110,103900184.0,서울 성동구 금호동2가 455,서울특별시 성동구 금호로 147 (금호동2가),4812.0,8011.0,1339.0
버스,금호초등학교,,1,127.0194943,37.55268843,N,Y,N,금호동2가,11200110,103900163.0,서울 성동구 금호동2가 511,서울특별시 성동구 무수막길 69 (금호동2가),4741.0,182.0,7424.0
버스,논골.e편한세상금호114동,,2,127.0246041,37.55519162,N,Y,N,금호동1가,11200109,103900124.0,서울 성동구 금호동1가 1832,-,4591.0,814.0,8834.0
버스,논골.금호벽산아파트.성동공유센터,,4,127.025349,37.5555492,N,Y,N,금호동1가,11200109,103900029.0,서울 성동구 금호동1가 168-298,-,4523.0,18602.0,3516.0
버스,논골.대림아파트107동.금호동벽산아파트,,2,127.0249544,37.5558964,N,Y,N,행당동,11200107,103900216.0,서울 성동구 행당동 347,서울특별시 성동구 행당로 75 (행당동),4846.0,126.0,6450.0
버스,논골사거리,,1,127.0248124,37.55531503,N,Y,N,금호동1가,11200109,103900076.0,서울 성동구 금호동1가 710-2,-,4554.0,8302.0,9907.0
버스,논골사거리,,1,127.0247742,37.55612602,N,Y,N,금호동1가,11200109,103900100.0,서울 성동구 금호동1가 168-322,-,4672.0,3499.0,5239.0
버스,논골신협.대림아파트후문,,1,127.0245189,37.55751195,N,Y,N,금호동1가,11200109,103900058.0,서울 성동구 금호동1가 132-1,-,4669.0,4591.0,9307.0
버스,논골신협.대림아파트후문,,2,127.0245744,37.55770298,N,Y,N,금호동1가,11200109,105000454.0,서울 성동구 금호동1가 132-1,-,4560.0,8174.0,12209.0
버스,논골입구.성동공유센터,,1,127.02557,37.55554,N,Y,N,행당동,11200107,103900050.0,서울 성동구 행당동 346,서울특별시 성동구 행당로 76 (행당동),4586.0,132.0,1564.0
