정류장_이름,x_좌표,y_좌표
한진아파트후문,127.0269971479,37.5560183016
신동아아파트후문,127.032693675,37.554894681
올림픽체육관맞은편,127.049294,37.556934
경수중학교입구,127.060089,37.543514
제일감리교회,127.0269036684,37.547866119
신금호역,127.019638,37.554381
제3법학관,127.048637,37.556233
행당서울숲푸르지오109동앞,127.031711,37.554456
벽산아파트정문,127.02528,37.552658
성수역2번출구,127.057638,37.544268
옥수종합사회복지관,127.0128519457,37.5408804856
응봉동현대아파트,127.0307682168,37.5498025299
행당2동주민센터,127.0306537631,37.5577375973
응봉경로당앞,127.031642249,37.5526279318
금호119안전센터,127.024731,37.554187
경동초등학교입구,127.051155,37.545895
옥수삼성아파트,127.0139484516,37.540635263
현대공업사앞,127.0325677907,37.549950728
두산상가후문.106동,127.0167386956,37.5491853986
중앙병원,127.0193175559,37.5519612784
무학중학교.무학여고,127.0331282771,37.5582100032
만물상회앞,127.031224,37.552829
논골사거리,127.0248124231,37.5553150263
응봉초등학교.대림아파트,127.0334306978,37.5510678445
한신아파트,127.0192957404,37.5507538149
올림픽체육관앞,127.049632,37.557015
상봉노인정앞,127.030283193,37.5528739435
논골신협.대림아파트후문,127.0245743869,37.5577029753
옥수삼성아파트,127.0143207799,37.5407532621
응봉역.광희중,127.0344339086,37.5520425408
우리은행.백범학원터,127.021174,37.548008
금호공원,127.0195750088,37.5496769604
대현산체육관입구,127.029853,37.55308
한양대학교경영대학,127.04853,37.557084
지하철2호선성수역,127.0546617999,37.5447702802
옥수종합사회복지관,127.0132276487,37.5408867518
대우아파트입구,127.0191632324,37.5459834381
원형화단,127.0194898441,37.548592957
성동구청,127.036403,37.564136
금봉어린이집.또또와마트,127.0288090654,37.5529061904
한양대병원후문,127.041957,37.560011
경수중학교입구,127.059621,37.543363
옥정중학교,127.0113322323,37.5413329917
응봉사거리,127.0345427336,37.5548674402
천은교회.성동청소년상담복지센터,127.026797,37.554691
극동아파트상가,127.0123679427,37.5429116083
무학여고,127.0342554186,37.5577185854
한전입구,127.0351185322,37.5662652006
논골입구.성동공유센터,127.02557,37.55554
극동아파트7동,127.0127539602,37.5436189277
성동보건소,127.0331862828,37.566494637
행당역.대림아파트정문,127.0286715654,37.5570496595
청계벽산아파트,127.0303705362,37.568262437
논골.e편한세상금호114동,127.0246041221,37.55519162
코스모타워,127.033286,37.562788
화단앞,127.019653956,37.5486244682
성동사회복지관.청계천박물관,127.0334777845,37.5703034715
금호119안전센터,127.024578,37.554264
왕약국,127.0655472648,37.5483411874
상왕십리역,127.0302513803,37.5647437014
금호공원,127.0197741925,37.5496507955
성동구도시관리공단.서울시시설관리공단,127.0368611826,37.5718289131
e편한세상금호117동,127.024679,37.552657
왕십리자이.신당현대아파트,127.0236902472,37.5608470716
중앙슈퍼,127.0665317949,37.5495156648
한신아파트,127.0194077879,37.550758302
금호고등학교,127.023552,37.553096
극동.풍림아파트,127.0236410045,37.5590448945
GS25,127.0671617628,37.5503046673
중앙병원앞,127.019471524,37.5521279557
도선동사거리,127.0365326655,37.5667675811
논골신협.대림아파트후문,127.0245188619,37.5575119549
송정동자치회관입구,127.0678257351,37.5511350971
성동구청,127.036042,37.563354
논골사거리,127.0247742087,37.5561260191
신금호역,127.0197856168,37.5543355851
성동중앙교회.벽산아파트정문,127.024877,37.553011
무학중학교.무학여고,127.0332891007,37.5584226161
천은교회.성동청소년상담복지센터,127.0266661363,37.5545919447
금호어린이집,127.018232,37.556743
행당2동주민센터,127.0304206318,37.5578295691
금봉어린이집.또또와마트,127.028794376,37.5526423775
대경생활과학고등학교,127.0175178242,37.5560687475
대현산체육관입구,127.0297135329,37.5529629395
GS주유소,127.0251253545,37.546811328
대림아파트후문,127.026932687,37.5561715023
상봉노인정앞,127.03022,37.552674
서울숲푸르지오아파트정문,127.0243937555,37.5452561903
대림상가,127.034468,37.55388
충북상회,127.0310093901,37.5527922994
서울숲푸르지오아파트후문,127.022805,37.543544
무학여고,127.033877,37.558122
무학여고,127.034245,37.5581
응봉사거리,127.0340901941,37.5553018991
응봉사거리,127.0344918986,37.5550801133
응봉역.광희중,127.0344034229,37.5522011423
응봉경로당앞,127.0316939654,37.5523884273
금호초등학교,127.0194943061,37.5526884328
응봉초등학교.대림아파트,127.0331680056,37.5508020956
행당서울숲푸르지오109동앞,127.031801204,37.5543861249
현대공업사앞,127.032439,37.550105
신동아아파트후문,127.0328358347,37.5546877083
신동아아파트,127.0300981967,37.5497675599
행당서울숲푸르지오상가앞,127.0340186862,37.5555729913
삼성래미안아파트,127.0275591319,37.5483750866
금호사거리,127.0250613034,37.5481765011
금남시장앞.백범학원터,127.0216479967,37.5482744945
왕십리광장.왕십리역7번출구,127.0365162885,37.5610465475
두산상가후문.106동,127.0167172071,37.5492520827
극동아파트7동,127.0126657069,37.543720761
두산아파트113동,127.016075787,37.5505884957
두산아파트109동,127.0167637359,37.5498179638
극동아파트4동,127.011588323,37.5435316415
극동아파트4동,127.0116845111,37.5435055002
두산아파트109동,127.0168497589,37.5498566987
두산아파트115동,127.0161120834,37.5509579397
금호역,127.0168517068,37.5484545943
금호역.두산상가경비실,127.0166706406,37.5485140923
금호역,127.0164272951,37.5484240169
금호역.3호선,127.0166253219,37.5482942315
화단삼거리,127.0196278194,37.5482189796
두산아파트113동,127.0161833258,37.5506803927
벽산아파트501동앞,127.0254789206,37.5548382055
벽산아파트505동앞,127.0262518161,37.5544010055
벽산아파트111동앞,127.026992,37.553193
벽산아파트206동앞,127.027267386,37.5521525445
벽산아파트202동앞,127.027356,37.551491
벽산하이피아상가앞,127.0256432644,37.5521961609
우리은행.백범학원터,127.021122,37.548263
행당푸르지오아파트,127.0340034675,37.556239062
왕십리역,127.0369826501,37.5610536111
옥정중학교,127.0113005335,37.5412473905
옥정중학교,127.0109934781,37.5409744546
옥수삼성아파트,127.0148090773,37.5436087758
옥수삼성아파트,127.014614465,37.5437908214
금옥초등학교.금호대우아파트,127.0189290928,37.546474573
금옥초등학교.금호대우아파트,127.018651851,37.5465899573
금호사거리,127.0241852708,37.5479784428
금호사거리,127.0250024528,37.5481765136
금호삼성래미안,127.0269817622,37.5478769143
금호삼성래미안,127.0275353603,37.5483615758
응봉현대아파트,127.0307014263,37.5497628991
응봉현대아파트,127.0309019007,37.5501304936
응봉주민센터,127.0335211731,37.5534440055
응봉주민센터,127.0336017817,37.5539990568
래미안옥수리버젠아파트상가,127.0157270249,37.5443727865
옥수동주민센터.옥수동성당,127.0140191688,37.5436061689
국민은행,127.0122219232,37.5426971627
국민은행,127.0127560803,37.5427782048
옥수동주민센터.옥수동성당,127.0136716778,37.5432376614
삼성아파트정문,127.015293478,37.5438267793
성동노인종합복지관,127.0414402566,37.5652097737
중앙하이츠아파트,127.0389001215,37.5652526914
민자역사후문,127.038365,37.563549
금호1가동주민센터,127.0208123009,37.5547282857
금호정형외과,127.0204578591,37.5540867685
금호고등학교앞,127.0233929107,37.5529799549
벽산하이피아상가,127.0259453705,37.5519500961
벽산노인정,127.0268504902,37.551058711
벽산아파트107동,127.0274313269,37.5516875417
벽산아파트109동,127.0273705487,37.5526138811
벽산아파트505동,127.0263706309,37.5543216827
벽산아파트501동,127.0255027292,37.5549553427
광희중학교.응봉역,127.035058499,37.5519110306
한신아파트후문,127.0370729773,37.5537403049
한신아파트정문,127.035382546,37.5548347521
민자역사후문,127.038505,37.56358
중앙하이츠아파트,127.03845,37.565054
