정류장_이름,x_좌표,y_좌표
사당중학교,126.968275,37.486355
사당중학교,126.9681789127,37.4866369532
남성역,126.9707465249,37.4849291221
남성역,126.971093,37.484588
남성역골목시장,126.973014,37.483805
남성역골목시장,126.972782,37.483676
남성초등학교,126.978585,37.484075
남성초등학교,126.9784299949,37.4842992298
이수역9번출구,126.979895,37.484445
이수역10번출구,126.9801874958,37.4848328619
신대방삼거리,126.9278411369,37.4977748671
신대방삼거리,126.928253,37.498328
보라매병원입구,126.927191,37.494757
동작구청.노량진초등학교앞,126.940053,37.51055
동작구청.노량진초등학교앞,126.940337,37.510453
장성교회,126.9399682084,37.5082110072
청화병원,126.9400798321,37.5072450833
중앙대학교,126.961323,37.508167
중앙대학교,126.9615071968,37.508509243
중앙대학교,126.9614382814,37.5083452201
7호선장승배기역.상도2치안센터,126.9391355764,37.5041718438
7호선장승배기역.상도2치안센터,126.939325461,37.5043404476
상도2동아이파크.포스코더샵아파트,126.9408309246,37.5014793109
상도2동아이파크.포스코더샵아파트,126.941136,37.501514
신상도초등학교,126.943532,37.499316
중앙대후문,126.9536355983,37.5048082949
중앙대후문,126.9534310317,37.5045504993
중앙대정문,126.958294,37.506811
중앙대중문,126.957272,37.50664
중앙대정문,126.959113,37.507237
신대방역,126.9123158741,37.4873791461
신대방역,126.911743,37.487413
동작상떼빌아파트,126.9071028224,37.488253739
신대방경남아파트,126.9072269982,37.4884286507
서울특별시.보라매병원,126.924482,37.492755
신상도초등학교,126.9436736712,37.4993739229
상도4동약수맨션,126.943548,37.497943
경향렉스빌.롯데캐슬비엔,126.9429139957,37.4959295429
경향렉스빌.롯데캐슬비엔,126.9427352625,37.4959853248
상도4동약수맨션,126.9433569275,37.4979590401
래미안상도3차중문,126.953869,37.499874
금양빌딩,126.953501942,37.4995065114
동작구청정문,126.9400621552,37.5123768448
상도SH빌아파트상도팰리스후문,126.953972,37.502655
상도SH빌아파트상도팰리스후문,126.9542926452,37.5031415122
상도3차삼성래미안후문,126.9538226802,37.5010547638
상도3차삼성래미안후문,126.9535689972,37.5009407383
상도1동주민센터.상도3차래미안,126.953358,37.498407
상도1동주민센터.상도3차래미안,126.953262,37.49822
노들역앞,126.9522638617,37.5132618801
대방역1번출구앞,126.927473,37.513095
대방역.여의교앞,126.92733,37.514757
노들역4번출구앞,126.9533594381,37.5124572784
동작실버센터입구,126.956612,37.513122
사당동대아신협앞,126.97629,37.483377
사당역9번출구앞,126.9813958895,37.47739263
사당롯데캐슬골든포레.사당해그린,126.963072,37.492436
사당솔밭도서관,126.9670560347,37.4840171336
효주파크빌,126.926749425,37.5027284564
남성초등학교입구,126.9769232473,37.4837563501
벽산아파트,126.9218266232,37.497733194
정금마을,126.9812425527,37.4937440545
이수힐스테이트,126.9797405713,37.4941844461
사당역10번출구,126.9815810731,37.4786874149
현대2차아파트후문,126.932045,37.510707
극동상가,126.9740958456,37.491687286
삼성래미안.롯데캐슬,126.97115,37.489628
자이아파트정문앞,126.9627803005,37.4891368419
달마사,126.960569,37.500332
상도4동성문교회,126.9395008378,37.4986599886
사자암,126.9363189798,37.4937689308
노들역.노량진교회,126.954474,37.512428
대림현대아파트,126.9724840951,37.4861568443
행복유치원,126.9408686105,37.4961660043
이수역,126.9806261973,37.4850014413
보라매공원,126.918577,37.49462
신대방삼거리역,126.9281819736,37.4999673048
현대2차아파트후문,126.9321404098,37.5110632602
극동아파트110동,126.9746719153,37.4903636891
극동아파트110동,126.9741210149,37.4908474626
대림아파트후문,126.9721846371,37.4886519328
자이아파트상가앞,126.963155966,37.4886828031
삼성래미안아파트,126.959261,37.497806
충남정육점,126.9399699471,37.4989765149
당곡중.고등학교,126.9354612976,37.4929709888
대림프라자.사당3동주민센터,126.9738757634,37.4839260244
롯데캐슬,126.9712716065,37.4898234441
보라매공원입구,126.918086,37.496008
강현중학교,126.9278709369,37.5020677375
구중앙슈퍼앞,126.935503992,37.4946119215
유앤미아파트,126.960459,37.500707
로고스교회,126.931715,37.497757
극동아파트112동,126.976344,37.488596
삼일공원,126.9738555209,37.4868510064
사당종합체육관,126.9696348409,37.4925240349
숭실대후문,126.9610345638,37.4950952786
화성목욕탕,126.9406672593,37.4996265622
갑을명가아파트,126.9345740345,37.4936940869
사당시장,126.9751266748,37.4830900688
롯데캐슬비엔,126.9430908619,37.4968433468
삼거리,126.9683026096,37.4855998149
대방어린이도서관,126.9254812795,37.5029619498
성심슈퍼,126.9344155696,37.4951429733
