대중교통,역(정류장),호선(명),노선(수),x_좌표,y_좌표,지하철 여부(Y/N),버스 여부(Y/N),따릉이 여부(Y/N),동_이름,GID,NODE_ID,주소,도로명
버스,보라매공원입구,,1,126.917914,37.495679,N,Y,N,신대방동,11590109,119900235,서울 동작구 신대방동 722,서울특별시 동작구 보라매로5길 28 (신대방동)
버스,보라매공원입구,,1,126.918086,37.496008,N,Y,N,신대방동,11590109,119900063,서울 동작구 신대방동 722,서울특별시 동작구 보라매로5길 28 (신대방동)
버스,보라매공원,,1,126.918239,37.494769,N,Y,N,신대방동,11590109,119900234,서울 동작구 신대방동 722,서울특별시 동작구 보라매로5길 28 (신대방동)
버스,보라매공원,,1,126.918577,37.49462,N,Y,N,신대방동,11590109,119900074,서울 동작구 신대방동 722,서울특별시 동작구 보라매로5길 28 (신대방동)
버스,보라매역.동작세무서,,8,126.920196,37.498141,N,Y,N,신대방동,11590109,119000005,서울 동작구 신대방동 377-5,-
버스,보라매역.동작세무서,,2,126.920229,37.497993,N,Y,N,신대방동,11590109,119900279,서울 동작구 신대방동 381-1,-
버스,보라매역.동작세무서,,7,126.920261,37.498976,N,Y,N,대방동,11590108,118000013,서울 영등포구 신길동 4884,-
버스,서울공업고등학교,,8,126.921571,37.499961,N,Y,N,대방동,11590108,119000051,서울 동작구 대방동 466-59,-
버스,벽산아파트,,1,126.921827,37.497733,N,Y,N,신대방동,11590109,119900308,서울 동작구 신대방동 378-10,-
버스,강남중학교,,12,126.921898,37.50379,N,Y,N,대방동,11590108,119000006,서울 동작구 대방동 466-43,서울특별시 동작구 여의대방로36길 5 (대방동)
버스,서울공업고등학교,,9,126.922337,37.499775,N,Y,N,대방동,11590108,119000050,서울 동작구 대방동 466-59,-
버스,예스플러스,,2,126.922494,37.503964,N,Y,N,대방동,11590108,119900146,서울 동작구 대방동 389-3,서울특별시 동작구 여의대방로36길 4 (대방동)
버스,대방교회,,3,126.923039,37.503971,N,Y,N,대방동,11590108,119900123,서울 동작구 대방동 388-1,서울특별시 동작구 대방동23길 41 (대방동)
버스,보라매어린이집.문창중학교,,1,126.923186,37.497719,N,Y,N,신대방동,11590109,119900098,서울 동작구 신대방동 378-10,-
버스,서울지방병무청앞,,11,126.923275,37.506935,N,Y,N,대방동,11590108,119000020,서울 동작구 대방동 501,서울특별시 동작구 여의대방로 250 (대방동)
버스,동작우체국,,1,126.923882,37.49781,N,Y,N,신대방동,11590109,119900155,서울 동작구 신대방동 349-35,-
버스,코오롱하늘채아파트,,3,126.924009,37.49917,N,Y,N,대방동,11590108,119900163,서울 동작구 대방동 411-5,"서울특별시 동작구 여의대방로24마길 13 (대방동, 팰리스타운)"
버스,범한택시,,3,126.924018,37.500061,N,Y,N,대방동,11590108,119900116,서울 동작구 대방동 397-1,-
버스,영동슈퍼,,3,126.92411,37.502869,N,Y,N,대방동,11590108,119900119,서울 동작구 대방동 466-10,-
버스,홍원사,,3,126.924142,37.503945,N,Y,N,대방동,11590108,119900268,서울 동작구 대방동 380-1,서울특별시 동작구 대방동23길 21 (대방동)
버스,아카데미타워,,1,126.924416,37.491213,N,Y,N,신대방동,11590109,119900084,서울 동작구 신대방동 395-69,"서울특별시 동작구 보라매로5가길 16 (신대방동, 보라매아카데미타워)"
버스,서울특별시.보라매병원,,2,126.924482,37.492755,N,Y,N,신대방동,11590109,119000123,서울 동작구 신대방동 395-61,서울특별시 동작구 보라매로5길 지하24 (신대방동)
버스,동작우체국,,2,126.924507,37.49773,N,Y,N,신대방동,11590109,119900095,서울 동작구 신대방동 361-57,서울특별시 동작구 여의대방로22길 80 (신대방동)
버스,공군호텔,,13,126.924541,37.510011,N,Y,N,대방동,11590108,119000021,서울 동작구 대방동 356-2,-
버스,공군호텔,,2,126.924618,37.510202,N,Y,N,대방동,11590108,119000292,서울 동작구 대방동 356-2,-
버스,해태타워앞,,1,126.924661,37.491094,N,Y,N,신대방동,11590109,119900191,서울 동작구 신대방동 708,"서울특별시 동작구 보라매로3길 29 (신대방동, 해태보라매타워)"
버스,대림아파트후문.성남중.고교,,3,126.924815,37.505675,N,Y,N,대방동,11590108,119900030,서울 동작구 대방동 375-39,서울특별시 동작구 여의대방로36길 32 (대방동)
버스,전문건설회관.보라매병원,,1,126.924958,37.492359,N,Y,N,신대방동,11590109,119900272,서울 동작구 신대방동 706,"서울특별시 동작구 보라매로5길 5 (신대방동, 보라매우성아파트)"
버스,대림아파트후문.성남중.고교,,3,126.924992,37.505866,N,Y,N,대방동,11590108,119900128,서울 동작구 대방동 466-56,-
버스,성남중고,,1,126.925313,37.504578,N,Y,N,대방동,11590108,119900042,서울 동작구 대방동 375-1,서울특별시 동작구 대방동길 74 (대방동)
버스,성원아파트,,2,126.925419,37.508822,N,Y,N,대방동,11590108,119900133,서울 동작구 대방동 503-2,-
버스,대방어린이도서관,,1,126.925481,37.502962,N,Y,N,대방동,11590108,119900053,서울 동작구 대방동 375-74,서울특별시 동작구 대방동길 56 (대방동)
버스,대림초등학교,,8,126.926128,37.499855,N,Y,N,대방동,11590108,119000053,서울 동작구 대방동 466-60,-
