GID,gid위도,gid경도,생활인구수,동 이름,gid 버스정류장명,gid버스정류장위도,gid버스정류장경도,NODE_ID
다사603502,37.55073786,127.0511175,310,성수동1가,리버하우스,37.55090026,127.0510061,103000152
다사580514,37.56145192,127.0250111,592,하왕십리동,금호베스트빌아파트노인정앞,37.56187332,127.0250695,103900270
다사595518,37.56512434,127.0419726,0,마장동,성동노인복지관,37.56493759,127.0415861,103000019
다사595518,37.56512434,127.0419726,0,마장동,성동노인종합복지관,37.56520977,127.0414403,103900189
다사592510,37.55790049,127.0386202,20,행당동,왕십리로교차로,37.55771977,127.0389354,103900278
다사592510,37.55790049,127.0386202,20,행당동,왕십리로교차로,37.55776761,127.0391339,103900279
다사592510,37.55790049,127.0386202,20,행당동,행당1동주민센터.성동소방서,37.558268,127.038407,103000037
다사573492,37.54159058,127.0172133,21,옥수동,옥수역,37.54148275,127.0168166,103900150
다사573492,37.54159058,127.0172133,21,옥수동,옥수역4번출구,37.54181185,127.0176125,103900218
다사573492,37.54159058,127.0172133,21,옥수동,옥수역5.6번출구,37.541854,127.017002,103900217
다사592506,37.55429518,127.0386424,589,행당동,서울숲리버뷰자이아파트제1주차장,37.55419708,127.038889,103900277
다사602488,37.5381149,127.0500613,186,성수동1가,성수1가1동새마을금고,37.53822,127.04955,103000072
다사598513,37.56063083,127.0453969,209,사근동,사근동주민센터,37.560815,127.04565,103000127
다사598513,37.56063083,127.0453969,209,사근동,사근동주민센터,37.560933,127.045712,103000128
다사580508,37.55604396,127.0250454,301,행당동,논골.대림아파트107동.금호동벽산아파트,37.5558964,127.0249544,103900216
다사580508,37.55604396,127.0250454,301,금호동1가,논골사거리,37.55612602,127.0247742,103900100
다사581512,37.55965382,127.0261547,439,하왕십리동,왕십리자이아파트107동,37.55971284,127.0259693,103900268
다사583509,37.5569589,127.0284362,75,행당동,행당역,37.55707937,127.0287644,103000177
다사583509,37.5569589,127.0284362,75,행당동,행당역.대림아파트정문,37.55704966,127.0286716,103900123
다사568492,37.54156731,127.0115537,9,옥수동,옥정중학교,37.54124739,127.0113005,105000471
다사568492,37.54156731,127.0115537,9,옥수동,옥정중학교,37.54133299,127.0113322,103900049
다사587511,37.55877956,127.0329536,102,행당동,무학여고,37.55839115,127.0330163,103000178
다사587511,37.55877956,127.0329536,102,행당동,무학중학교.무학여고,37.55842262,127.0332891,103900018
다사577499,37.54791831,127.0217008,112,금호동4가,금남시장앞.백범학원터,37.54808522,127.0218686,103000054
다사577499,37.54791831,127.0217008,112,금호동3가,금남시장앞.백범학원터,37.54827449,127.021648,103900009
다사577499,37.54791831,127.0217008,112,용답동,우리은행.백범학원터,37.548008,127.021174,103900080
다사584520,37.56687802,127.029506,559,하왕십리동,텐즈힐아파트101동.115동,37.56698,127.029276,103900197
다사587502,37.55066761,127.0330043,278,응봉동,응봉초등학교.대림아파트,37.5508021,127.033168,103900128
다사581523,37.5695684,127.0260919,157,하왕십리동,텐즈힐아파트120동.213동앞,37.569125,127.026001,103900200
다사582513,37.56055968,127.0272812,206,하왕십리동,왕십리KCC스위첸아파트,37.560369,127.026824,103900269
다사587505,37.55337159,127.0329874,547,응봉동,응봉동주민센터,37.55339896,127.0335008,103000039
다사597502,37.55071184,127.044325,0,성수동1가,성동교남단,37.55050752,127.0439628,103000087
다사618500,37.54899853,127.0681091,0,송정동,송정어린이집,37.54900258,127.0677474,103900295
다사580507,37.55514264,127.0250511,208,금호동1가,논골.e편한세상금호114동,37.55519162,127.0246041,103900124
다사580507,37.55514264,127.0250511,208,금호동1가,논골사거리,37.55531503,127.0248124,103900076
다사580507,37.55514264,127.0250511,208,금호동1가,벽산아파트501동,37.55495534,127.0255027,103900176
다사579510,37.55784206,127.0239018,51,하왕십리동,극동아파트,37.558095,127.023935,103000172
다사602491,37.5408189,127.050045,510,성수동1가,현대그린아파트,37.540523,127.049622,103900261
다사580510,37.55784662,127.025034,349,금호동1가,논골신협.대림아파트후문,37.55770298,127.0245744,105000454
다사573505,37.55330784,127.0171378,0,금호동2가,응봉근린공원.금호산,37.553522,127.016922,101900001
다사587501,37.54976628,127.0330099,157,응봉동,현대공업사앞,37.54995073,127.0325678,103900074
다사579499,37.54792746,127.0239648,69,금호동4가,금호사거리,37.54797844,127.0241853,105000465
다사593510,37.55790491,127.0397524,25,행당동,행당동서울숲더샵,37.557808,127.039717,103900282
다사593510,37.55790491,127.0397524,25,행당동,행당동서울숲더샵,37.558001,127.039904,103900294
다사607485,37.53543233,127.0557368,146,성수동2가,성수동차고지,37.535793,127.055682,103000183
다사569491,37.54067066,127.0126915,168,옥수동,옥수종합사회복지관,37.54088049,127.0128519,103900037
다사603490,37.53992187,127.0511824,29,성수동1가,성수공고앞,37.540039,127.050759,103000083
다사591524,37.57051464,127.03741,95,마장동,마장동축산물시장,37.57033647,127.0375065,103900055
다사591524,37.57051464,127.03741,95,마장동,마장축산물시장,37.57025901,127.0375114,103000021
