GID,위도,경도,생활인구수
다사512448,37.50162995,126.9484577,162
다사513462,37.51425376,126.9494964,121
다사539428,37.48374201,126.9791287,253
다사530423,37.47919004,126.9689811,29
다사538431,37.48644101,126.9779788,308
다사534436,37.49092759,126.9734228,438
다사503463,37.5151018,126.9381745,9
다사540434,37.48915498,126.9802223,276
다사535421,37.47741266,126.9746486,400
다사526430,37.48547893,126.9644121,40
다사489445,37.49880163,126.9224582,651
다사540433,37.48825365,126.9802285,124
다사488450,37.5033027,126.9212922,0
다사516449,37.50255232,126.9529764,422
다사533424,37.48010657,126.9723677,336
다사531422,37.47829379,126.9701184,258
다사507450,37.50340605,126.9427877,426
다사532434,37.48911482,126.9711732,688
다사497461,37.51326667,126.9313991,264
다사516442,37.49624304,126.9530225,136
다사512460,37.51244583,126.9483781,83
다사514442,37.49623254,126.95076,747
다사532422,37.47829885,126.9712494,365
다사479438,37.49243654,126.9111951,484
다사515452,37.50525105,126.9518253,220
다사513450,37.50343788,126.9495758,209
다사495440,37.49432801,126.9292802,40
다사530432,37.48730202,126.9689237,173
다사534429,37.48461828,126.9734671,356
다사501453,37.5060778,126.9359793,63
다사529453,37.50622482,126.9676582,6
다사527450,37.50351062,126.9654147,339
다사532423,37.47920019,126.9712431,233
다사535427,37.48282065,126.9746108,117
다사497450,37.50335214,126.9314743,13
다사529451,37.50442216,126.967671,13
다사491447,37.50061531,126.924707,368
다사541442,37.4963706,126.9813036,219
다사506443,37.49709144,126.9417034,255
다사508454,37.50701668,126.9438923,535
다사491448,37.50151664,126.9247001,468
다사499454,37.5069683,126.9337097,206
다사524447,37.50079123,126.9620401,412
다사535430,37.48552464,126.9745918,162
다사491444,37.49791135,126.9247277,561
다사481439,37.49334912,126.9134504,58
다사492458,37.51053534,126.9257623,356
다사501450,37.50337384,126.9359996,232
다사528452,37.50531839,126.9665332,6
다사487445,37.49879055,126.9201957,7
다사540429,37.48464832,126.9802535,316
다사492444,37.49791685,126.925859,551
