GID,위도,경도,생활인구수,가까운 지하철역,지하철역까지거리(m)
다사537433,37.48823867,126.9768352,260,이수,483.14
다사477437,37.49152393,126.9089398,0,신대방,586.01
다사531430,37.48550443,126.9700675,203,남성,129.11
다사542439,37.49367157,126.9824535,133,총신대입구,756.3
다사494448,37.50153312,126.928094,397,신대방삼거리,202.24
다사521451,37.50438103,126.9586201,458,흑석,672.6
다사532433,37.48821349,126.9711795,135,남성,392.07
다사515460,37.51246164,126.9517726,45,노들,129.63
다사482440,37.49425605,126.9145745,544,보라매공원,344.25
다사497446,37.49974685,126.9315016,40,신대방삼거리,289.69
다사499441,37.49525111,126.9337982,354,신대방삼거리,699.24
다사525454,37.50710566,126.9631262,121,흑석,217.74
다사500461,37.51328296,126.9347936,226,샛강,647.39
다사508453,37.50611535,126.943899,455,장승배기,452.55
다사475434,37.48880863,126.9066989,81,신대방,597.62
다사534437,37.49182892,126.9734165,510,남성,819.74
다사503459,37.51149652,126.9382016,284,노량진,638.83
다사516460,37.51246688,126.9529041,281,노들,37.31
다사533436,37.49092254,126.9722916,443,남성,701.07
다사504450,37.50338999,126.9393937,66,장승배기,165.03
다사514448,37.50164049,126.9507204,416,상도,275.87
다사495444,37.4979333,126.9292528,315,신대방삼거리,218.34
다사517444,37.49805092,126.9541406,510,숭실대입구,204.03
다사511447,37.50072334,126.947333,467,상도,236.14
다사478432,37.48702298,126.9101064,107,신대방,285.63
다사525445,37.49899372,126.9631843,9,숭실대입구,894.51
다사492450,37.50332478,126.9258176,119,서울지방병무청,394.63
다사492442,37.49611421,126.9258728,344,보라매병원,393.71
다사510441,37.49531009,126.9462417,242,숭실대입구,661.93
다사503461,37.51329916,126.938188,61,노량진,588.19
다사513442,37.49622728,126.9496287,387,숭실대입구,354.69
다사512442,37.496222,126.9484975,338,숭실대입구,454.49
다사481438,37.4924478,126.9134574,299,보라매공원,539.41
다사496462,37.51416254,126.9302607,178,샛강,312.84
다사516450,37.50345364,126.9529699,431,상도,449.01
다사541427,37.48285063,126.981397,67,이수,407.9
다사537431,37.48643601,126.9768477,309,이수,441.78
다사520441,37.49536258,126.9575539,60,숭실대입구,358.6
다사517439,37.49354429,126.9541734,393,숭실대입구,305.28
다사482435,37.48974945,126.9146097,50,신대방,272.89
다사506445,37.49889409,126.9416899,339,상도,701.81
다사535437,37.49183395,126.9745476,381,남성,850.57
다사505447,37.50069139,126.9405452,394,장승배기,480.93
다사490444,37.49790584,126.9235965,113,보라매,380.07
다사528427,37.48278518,126.9666935,244,남성,443.27
다사498452,37.50516022,126.932592,152,장승배기,568.54
다사510460,37.51243524,126.9461152,203,노량진,191.79
다사482441,37.49515737,126.9145675,176,보라매공원,313.47
다사498457,37.50966683,126.9325579,27,대방,632.84
다사539421,37.47743269,126.9791725,328,사당,238.76
다사494445,37.49882915,126.9281146,13,신대방삼거리,99.14
다사491451,37.5042206,126.9246793,310,서울지방병무청,253.22
다사533453,37.50624513,126.9721838,318,동작,764.91
다사536421,37.47741768,126.9757796,443,사당,525.58
다사489451,37.50420956,126.9224166,207,서울지방병무청,175.75
다사512447,37.50072863,126.9484644,292,상도,233.68
다사506458,37.51061129,126.9416027,183,노량진,456.36
다사513448,37.50163523,126.949589,230,상도,193.44
다사533434,37.48911988,126.9723043,222,남성,503.98
다사503442,37.49617403,126.9383164,379,장승배기,966.19
다사490447,37.5006098,126.9235757,34,보라매,315.14
다사512445,37.49892598,126.9484776,97,상도,432.18
다사495445,37.49883462,126.9292459,165,신대방삼거리,133.6
다사521440,37.49446644,126.9586917,361,숭실대입구,487.45
다사514456,37.50885109,126.9506675,437,노들,482.96
다사493458,37.51054084,126.9268938,42,대방,228.1
다사521450,37.5034797,126.9586266,405,흑석,752.25
다사507452,37.5052087,126.9427743,226,장승배기,333.19
다사538436,37.49094767,126.9779475,202,총신대입구,588.21
다사533430,37.48551456,126.9723297,193,남성,141.66
다사499445,37.4988564,126.933771,221,신대방삼거리,499.13
다사521456,37.50888766,126.9585875,234,흑석,431.63
다사532420,37.47649619,126.9712621,332,낙성대역,695.84
다사499448,37.50156037,126.9337506,128,신대방삼거리,529.36
다사502442,37.49616865,126.9371851,420,신대방삼거리,884.01
다사484442,37.49606988,126.9168229,87,보라매공원,120.31
다사508461,37.51332593,126.9438455,14,노량진,102.49
다사536427,37.48282567,126.9757418,167,남성,458.32
다사487443,37.49698791,126.9202096,152,보라매공원,241.58
다사504453,37.50609396,126.9393735,129,장승배기,142.24
다사525437,37.4917831,126.9632359,376,숭실대입구,981.3
다사494461,37.51325028,126.9280046,59,대방,163.7
다사504459,37.51150189,126.939333,229,노량진,548.8
다사493442,37.4961197,126.927004,224,신대방삼거리,414.09
다사535425,37.48101799,126.9746234,472,남성,512.59
다사510461,37.51333657,126.9461085,152,노량진,125.54
다사503457,37.50969387,126.9382151,279,장승배기,543.88
다사535429,37.48462331,126.9745982,263,남성,308.04
다사490437,37.49159658,126.9236449,819,보라매병원,155.07
다사491458,37.51052984,126.9246309,311,대방,272.11
다사494447,37.50063179,126.9281009,405,신대방삼거리,102.24
다사506453,37.50610468,126.9416362,525,장승배기,269.58
다사483441,37.49516297,126.9156987,366,보라매공원,215.6
다사506456,37.50880865,126.9416161,137,장승배기,496.48
다사502460,37.51239245,126.9370633,213,노량진,702.74
다사512458,37.51064319,126.9483914,314,노량진,473.31
다사505461,37.5133099,126.940451,394,노량진,389.9
다사514460,37.51245638,126.9506411,0,노들,228.33
다사491457,37.50962852,126.9246378,304,대방,359.06
다사522455,37.50799151,126.9597255,251,흑석,350.99
다사510453,37.50612598,126.9461618,340,상도,403.06
다사505458,37.51060594,126.9404712,116,노량진,524.75
다사499449,37.50246169,126.9337438,303,장승배기,535.97
다사524431,37.48636998,126.9621435,86,남성,812.78
다사528450,37.50351573,126.9665461,110,흑석,671.69
다사510443,37.49711274,126.9462284,340,상도,649.27
다사528431,37.4863905,126.9666679,286,남성,435.11
다사540428,37.48374699,126.9802597,346,이수,337
다사538422,37.47832903,126.9780353,289,사당,374.74
다사541440,37.49456794,126.981316,275,총신대입구,859.18
다사496448,37.50154405,126.9303566,295,신대방삼거리,277.25
다사537421,37.47742269,126.9769106,346,사당,428.06
다사492457,37.50963402,126.9257692,507,대방,328.57
다사528432,37.48729182,126.9666615,299,남성,487.6
다사514452,37.50524579,126.9506939,99,상도,364.96
다사513455,37.5079445,126.9495427,751,상도,590.14
다사539424,37.48013668,126.9791537,442,사당,456.17
다사499440,37.49434978,126.933805,281,당곡,715.05
다사540443,37.49726696,126.9801661,189,동작,700.53
다사479439,37.49333786,126.911188,138,보라매공원,658.57
다사522456,37.50889284,126.959719,70,흑석,331.91
다사476432,37.48701166,126.9078442,162,신대방,483.03
다사506455,37.50790732,126.9416228,44,장승배기,410.44
다사510459,37.51153392,126.9461218,343,노량진,279.09
다사535439,37.49363661,126.974535,119,총신대입구,1011.36
다사505453,37.50609932,126.9405049,51,장승배기,191.03
다사527431,37.48638538,126.9655368,490,남성,526.56
다사511450,37.50342731,126.9473131,73,상도,90.38
다사512451,37.50433392,126.9484378,415,상도,177.01
다사509445,37.49891008,126.9450838,275,상도,500.02
다사505460,37.51240858,126.9404578,148,노량진,415.98
