대중교통,역(정류장),호선(명),노선(수),지하철 여부(Y/N),버스 여부(Y/N),따릉이 여부(Y/N),x_좌표,y_좌표,동 이름,GID,대여소번호,NODE_ID,ARS_ID,지번_주소,도로명_주소,일평균승차승객수,일평균하차승객수,일평균총승객수,월승차승객수,월하차승객수,월이용객수
버스,보라매역.동작세무서,,2,N,Y,N,126.9202294,37.49799255,신대방동,11590109,,119900279,20995,서울 동작구 신대방동 381-1,,18.47,34.05,52.52,1108,1875,3151
버스,보라매역.동작세무서,,7,N,Y,N,126.920261,37.49897649,대방동,11590108,,118000013,19013,서울 영등포구 신길동 4884,,377.01,273.07,650.08,67861,1875,117014
버스,서울공업고등학교,,8,N,Y,N,126.921571,37.49996145,대방동,11590108,,119000051,20144,서울 동작구 대방동 466-59,,150.4,76.34,226.74,25869,1875,39000
버스,벽산아파트,,1,N,Y,N,126.9218266,37.49773319,신대방동,11590109,,119900308,20497,서울 동작구 신대방동 378-10,,2.17,5.47,7.63,65,1875,229
버스,강남중학교,,12,N,Y,N,126.9218984,37.50378955,대방동,11590108,,119000006,20006,서울 동작구 대방동 466-43,서울특별시 동작구 여의대방로36길 5 (대방동),172.26,97.98,270.24,50299,1875,78909
버스,서울공업고등학교,,9,N,Y,N,126.922337,37.499775,대방동,11590108,,119000050,20143,서울 동작구 대방동 466-59,,91.99,159.48,251.46,18581,1875,50795
버스,예스플러스,,2,N,Y,N,126.9224942,37.50396386,대방동,11590108,,119900146,20842,서울 동작구 대방동 389-3,서울특별시 동작구 여의대방로36길 4 (대방동),28.88,27.37,56.25,1733,1875,3375
버스,대방교회,,3,N,Y,N,126.9230394,37.50397142,대방동,11590108,,119900123,20870,서울 동작구 대방동 388-1,서울특별시 동작구 대방동23길 41 (대방동),19.76,34.82,54.58,1778,1875,4912
버스,보라매어린이집.문창중학교,,1,N,Y,N,126.923186,37.497719,신대방동,11590109,,119900098,20903,서울 동작구 신대방동 378-10,,8.07,12,20.07,242,1875,602
버스,서울지방병무청앞,,11,N,Y,N,126.923275,37.506935,대방동,11590108,,119000020,20106,서울 동작구 대방동 501,서울특별시 동작구 여의대방로 250 (대방동),133.42,81.19,214.6,42960,1875,69102
