GID,위도,경도,생활인구수,반경150m_정류장수,반경300m_정류장수,반경400m_정류장수
다사607490,37.53993899,127.05571,13.0,5,15,19
다사579497,37.5461248,127.0239763,458.0,5,13,24
다사613514,37.56159633,127.0623751,259.0,2,5,8
다사605487,37.53722645,127.0534623,204.0,3,9,22
다사595509,37.55701239,127.0420223,320.0,4,13,26
다사599501,37.54981922,127.0465946,306.0,0,6,7
다사619502,37.55080533,127.0692308,0.0,4,13,16
다사591520,37.56690934,127.0374323,82.0,3,7,12
다사571494,37.54338396,127.0149378,254.0,8,25,33
다사609499,37.54805949,127.057926,0.0,0,2,4
다사566492,37.54155792,127.0092898,151.0,0,12,19
다사577495,37.54431299,127.0217238,369.0,1,7,11
다사608489,37.53904191,127.0568473,415.0,4,12,22
다사583504,37.55245227,127.0284646,147.0,8,25,41
다사596500,37.5489048,127.043204,43.0,1,4,7
다사614500,37.54898188,127.0635809,127.0,1,6,12
다사610489,37.53905039,127.0591111,141.0,0,9,19
다사599513,37.56063518,127.0465291,306.0,4,12,18
다사583523,37.56957747,127.0283566,199.0,1,13,17
다사603516,37.56335648,127.0510418,192.0,0,0,5
다사596522,37.56873404,127.0430829,788.0,0,9,14
다사577500,37.54881963,127.021695,176.0,6,16,28
다사601513,37.56064386,127.0487936,223.0,4,9,14
다사598502,37.5507162,127.0454571,179.0,2,4,6
다사601522,37.56875582,127.0487446,93.0,2,10,14
다사579502,37.55063144,127.0239476,697.0,0,17,32
다사584508,37.55606209,127.029574,654.0,3,10,35
다사571495,37.54428529,127.0149319,346.0,8,19,30
다사572494,37.54338861,127.0160698,207.0,6,17,31
다사585502,37.55065863,127.0307401,430.0,7,20,33
다사603495,37.54442853,127.0511553,285.0,0,9,13
다사580513,37.5605506,127.0250168,549.0,6,12,14
다사581515,37.5623578,127.0261376,157.0,1,11,16
다사589510,37.55788717,127.0352236,65.0,6,18,30
다사606489,37.5390334,127.0545835,27.0,8,18,23
다사611489,37.53905461,127.060243,57.0,0,8,17
다사599497,37.5462139,127.0466165,197.0,0,9,14
