GID,위도,경도,생활인구수,반경150m_정류장수,반경300m_정류장수,반경400m_정류장수
다사482435,37.48974945,126.9146097,50,0,4,12
다사506445,37.49889409,126.9416899,339,2,16,21
다사535437,37.49183395,126.9745476,381,2,6,11
다사505447,37.50069139,126.9405452,394,5,8,13
다사490444,37.49790584,126.9235965,113,4,9,19
다사528427,37.48278518,126.9666935,244,5,7,10
다사498452,37.50516022,126.932592,152,2,7,15
다사510460,37.51243524,126.9461152,203,1,11,12
다사482441,37.49515737,126.9145675,176,3,13,19
다사498457,37.50966683,126.9325579,27,3,7,16
다사539421,37.47743269,126.9791725,328,1,6,17
다사494445,37.49882915,126.9281146,13,6,14,24
다사491451,37.5042206,126.9246793,310,3,14,19
다사533453,37.50624513,126.9721838,318,3,4,6
다사536421,37.47741768,126.9757796,443,0,3,4
다사489451,37.50420956,126.9224166,207,7,18,21
다사512447,37.50072863,126.9484644,292,2,9,14
다사506458,37.51061129,126.9416027,183,2,7,19
다사513448,37.50163523,126.949589,230,2,7,20
다사533434,37.48911988,126.9723043,222,4,11,19
다사503442,37.49617403,126.9383164,379,5,13,21
다사490447,37.5006098,126.9235757,34,2,8,22
다사512445,37.49892598,126.9484776,97,0,3,5
다사495445,37.49883462,126.9292459,165,7,18,23
다사521440,37.49446644,126.9586917,361,2,7,15
다사514456,37.50885109,126.9506675,437,5,13,23
다사493458,37.51054084,126.9268938,42,0,14,23
다사521450,37.5034797,126.9586266,405,0,5,15
다사507452,37.5052087,126.9427743,226,6,16,28
다사538436,37.49094767,126.9779475,202,0,5,10
다사533430,37.48551456,126.9723297,193,3,15,23
다사499445,37.4988564,126.933771,221,2,10,21
다사521456,37.50888766,126.9585875,234,0,12,20
다사532420,37.47649619,126.9712621,332,1,2,2
다사499448,37.50156037,126.9337506,128,4,11,14
다사502442,37.49616865,126.9371851,420,8,15,26
다사484442,37.49606988,126.9168229,87,4,13,21
다사508461,37.51332593,126.9438455,14,6,9,14
다사536427,37.48282567,126.9757418,167,3,12,15
다사487443,37.49698791,126.9202096,152,2,10,23
다사504453,37.50609396,126.9393735,129,2,19,23
다사525437,37.4917831,126.9632359,376,1,4,9
다사494461,37.51325028,126.9280046,59,4,10,18
다사504459,37.51150189,126.939333,229,3,6,12
다사493442,37.4961197,126.927004,224,0,7,17
다사535425,37.48101799,126.9746234,472,0,1,7
다사510461,37.51333657,126.9461085,152,2,9,12
다사503457,37.50969387,126.9382151,279,0,4,8
다사535429,37.48462331,126.9745982,263,2,16,24
다사490437,37.49159658,126.9236449,819,7,14,18
다사491458,37.51052984,126.9246309,311,4,17,25
다사494447,37.50063179,126.9281009,405,2,12,22
다사506453,37.50610468,126.9416362,525,7,16,22
다사483441,37.49516297,126.9156987,366,2,14,20
다사506456,37.50880865,126.9416161,137,0,11,16
다사502460,37.51239245,126.9370633,213,3,9,11
다사512458,37.51064319,126.9483914,314,0,8,22
다사505461,37.5133099,126.940451,394,5,8,16
다사514460,37.51245638,126.9506411,0,6,15,19
다사491457,37.50962852,126.9246378,304,5,12,24
다사522455,37.50799151,126.9597255,251,4,15,18
다사510453,37.50612598,126.9461618,340,4,19,30
다사505458,37.51060594,126.9404712,116,2,5,15
다사499449,37.50246169,126.9337438,303,5,10,17
다사524431,37.48636998,126.9621435,86,1,9,16
다사528450,37.50351573,126.9665461,110,2,4,7
다사510443,37.49711274,126.9462284,340,0,5,12
다사528431,37.4863905,126.9666679,286,4,14,19
다사540428,37.48374699,126.9802597,346,6,13,19
다사538422,37.47832903,126.9780353,289,0,2,7
다사541440,37.49456794,126.981316,275,5,8,11
다사496448,37.50154405,126.9303566,295,0,11,17
다사537421,37.47742269,126.9769106,346,2,2,5
다사492457,37.50963402,126.9257692,507,4,9,20
다사528432,37.48729182,126.9666615,299,3,14,20
다사514452,37.50524579,126.9506939,99,5,13,27
다사513455,37.5079445,126.9495427,751,0,17,24
다사539424,37.48013668,126.9791537,442,0,4,8
다사499440,37.49434978,126.933805,281,8,22,31
다사540443,37.49726696,126.9801661,189,0,4,7
다사479439,37.49333786,126.911188,138,2,6,13
다사522456,37.50889284,126.959719,70,0,11,20
다사476432,37.48701166,126.9078442,162,1,7,18
다사506455,37.50790732,126.9416228,44,3,12,21
다사510459,37.51153392,126.9461218,343,0,7,16
