GID,위도,경도,생활인구수
다사586507,37.55516977,127.031844,402
다사595515,37.56242036,127.0419892,288
다사582517,37.56416499,127.0272585,380
다사602490,37.53991756,127.0500504,21
다사583501,37.54974828,127.0284816,96
다사578508,37.55603483,127.0227811,187
다사583522,37.56867615,127.0283623,284
다사620506,37.55441479,127.0703422,213
다사593517,37.56421421,127.0397136,514
다사605497,37.54623978,127.0534086,0
다사586519,37.56598569,127.0317763,236
다사590522,37.56870755,127.0362888,65
다사578495,37.54431757,127.0228558,314
다사606493,37.54263873,127.054562,179
다사611492,37.54175861,127.0602271,0
다사582519,37.56596764,127.0272471,158
다사572500,37.54879657,127.0160348,104
다사607517,37.56427494,127.0555655,144
다사590521,37.56780622,127.0362944,129
다사583520,37.5668735,127.0283737,175
다사583500,37.54884695,127.0284873,255
다사589514,37.56149248,127.0352012,173
다사598499,37.54801221,127.0454735,31
다사602517,37.5642535,127.0499041,28
다사591504,37.55248809,127.0375214,105
다사595517,37.56422301,127.0419781,224
다사604492,37.54172883,127.0523035,313
다사585520,37.56688252,127.0306383,86
다사605517,37.5642664,127.053301,277
다사615500,37.54898605,127.064713,322
다사571499,37.5478906,127.0149086,194
다사594519,37.56602127,127.0408348,373
다사575502,37.5506131,127.0194194,135
다사590504,37.55248365,127.0363893,500
다사603520,37.56696179,127.0510202,19
다사605500,37.54894378,127.0533924,351
다사596497,37.54620081,127.0432205,70
다사596521,37.56783271,127.0430884,0
다사586516,37.56328171,127.0317932,67
다사580511,37.55874794,127.0250282,578
다사577504,37.55242494,127.021672,237
다사597498,37.54710652,127.044347,16
다사574497,37.54610185,127.0183163,330
다사573497,37.54609722,127.0171843,40
다사585518,37.56507987,127.0306497,163
다사619512,37.55981865,127.0691789,478
다사590517,37.56420091,127.0363167,187
다사599514,37.56153651,127.0465236,268
다사597516,37.56333045,127.0442482,56
다사567491,37.54066129,127.0104276,151
다사580523,37.56956385,127.0249596,312
다사572503,37.55150055,127.0160173,490
다사568498,37.54697527,127.0115184,272
다사581509,37.55694984,127.0261719,668
다사586517,37.56418304,127.0317876,189
다사589522,37.5687031,127.0351564,81
다사606490,37.53993473,127.0545781,95
다사600493,37.54261291,127.0477703,176
다사616500,37.54899022,127.065845,269
다사598511,37.55882817,127.0454078,6
다사584515,37.56237138,127.0295344,283
다사604485,37.5354195,127.0523412,288
다사572496,37.54519126,127.0160581,66
다사603499,37.54803386,127.0511337,84
다사596514,37.56152342,127.0431269,40
다사593513,37.56060889,127.0397357,406
다사595499,37.54799909,127.0420774,67
다사604494,37.5435315,127.0522927,28
다사580504,37.55243865,127.0250683,130
다사601500,37.54892656,127.0488642,250
다사577501,37.54972096,127.0216893,299
다사584514,37.56147006,127.02954,359
다사598519,37.5660388,127.045364,108
다사622509,37.557127,127.072591,8
다사595516,37.56332169,127.0419836,189
다사600513,37.56063953,127.0476613,340
다사581513,37.56055515,127.026149,212
다사579506,37.55423675,127.0239247,372
다사607487,37.53723499,127.0557261,96
다사586500,37.54886047,127.0318835,191
다사597500,37.54890918,127.044336,0
다사585509,37.55696793,127.0307005,191
다사601491,37.54081458,127.0489131,78
다사598496,37.54530822,127.0454899,62
다사613491,37.54086569,127.0624963,0
다사594518,37.56511994,127.0408403,92
다사596508,37.55611544,127.0431599,51
다사591512,37.55969872,127.0374769,434
다사592523,37.56961775,127.0385479,33
다사620507,37.55531612,127.070337,611
다사568490,37.53976465,127.0115654,64
다사609487,37.53724349,127.0579898,258
다사592518,37.56511111,127.0385757,399
다사594512,37.55971197,127.0408735,69
다사584509,37.55696342,127.0295684,405
다사589516,37.56329513,127.03519,195
다사583508,37.55605758,127.0284419,615
다사575500,37.54881044,127.0194309,108
다사577505,37.55332627,127.0216662,436
다사579509,37.55694073,127.0239075,224
다사611514,37.56158792,127.0601106,98
다사606502,37.55075072,127.0545137,0
다사581506,37.55424586,127.026189,440
다사595520,37.566927,127.0419616,13
다사571491,37.54067998,127.0149553,154
다사606515,37.56246802,127.054444,308
다사571501,37.54969325,127.0148969,167
다사616503,37.55169422,127.0658293,10
다사618511,37.55891319,127.0680519,0
다사619507,37.55531199,127.0692049,59
다사569490,37.53976933,127.0126973,345
다사608488,37.53814058,127.0568526,159
다사582515,37.56236234,127.0272699,183
다사613490,37.53996435,127.0625015,43
다사601490,37.53991325,127.0489185,193
다사609498,37.54715815,127.0579313,85
다사604520,37.5669661,127.0521525,76
다사610487,37.53724772,127.0591217,308
다사574501,37.54970716,127.0182931,430
다사598512,37.5597295,127.0454024,50
다사605502,37.55074644,127.0533817,0
다사598490,37.53990023,127.0455228,363
다사581522,37.56866708,127.0260976,303
다사600497,37.54621824,127.0477485,67
다사604497,37.5462355,127.0522765,0
다사594517,37.56421862,127.0408458,425
다사567493,37.54246395,127.0104158,325
다사570493,37.54247798,127.0138117,909
다사586506,37.55426844,127.0318496,409
다사598491,37.54080156,127.0455173,686
다사581516,37.56325913,127.0261319,7
다사597523,37.56963974,127.0442097,258
다사604516,37.56336078,127.0521741,316
다사573495,37.54429457,127.0171959,65
다사596509,37.55701677,127.0431544,65
다사604489,37.53902484,127.0523197,101
다사605493,37.54263445,127.0534301,94
다사604495,37.54443283,127.0522873,8
다사595513,37.5606177,127.0420002,68
다사596523,37.56963537,127.0430774,722
다사588519,37.56599465,127.0340409,160
다사595511,37.55881504,127.0420112,8
다사589517,37.56419646,127.0351844,790
다사576506,37.55422301,127.0205283,98
다사596519,37.56603006,127.0430994,30
다사603517,37.56425781,127.0510364,285
다사599499,37.54801656,127.0466056,61
다사608492,37.54174591,127.0568313,0
다사586508,37.55607109,127.0318383,155
다사607492,37.54174166,127.0556993,186
다사577498,37.54701698,127.0217065,584
다사603489,37.53902054,127.0511878,76
다사614514,37.56160052,127.0635073,146
다사600496,37.54531691,127.0477539,471
다사579523,37.56955929,127.0238272,364
다사585504,37.55246129,127.0307288,421
다사604512,37.55975546,127.0521957,0
다사582522,37.56867162,127.02723,434
다사597489,37.53899453,127.0443963,432
다사583502,37.55064961,127.0284759,319
다사580522,37.56866253,127.0249653,77
다사613497,37.54627369,127.0624647,0
다사602493,37.54262156,127.0500342,67
다사600517,37.56424484,127.0476395,200
다사578511,37.55873881,127.0227638,431
다사617511,37.55890904,127.0669197,325
다사607491,37.54084033,127.0557047,0
다사591505,37.55338942,127.0375159,381
다사576504,37.55242035,127.0205399,106
