대중교통,역(정류장)명,호선명,노선(수),지하철 여부(Y/N),버스 여부(Y/N),따릉이 여부(Y/N),X좌표,Y좌표,동 이름,GID,대여소번호,NODE_ID,ARS_ID,지번_주소,도로명_주소,일평균승차승객수,일평균하차승객수,일평균총승객수,월승차승객수,월하차승객수,월이용객수
버스,금봉어린이집.또또와마트,,1,N,Y,N,127.0287944,37.55264238,금호동1가,11200109,,103900060,4686,서울 성동구 금호동1가 산 37-1,서울특별시 성동구 독서당로57가길 24 (금호동1가),50.73,93.1,143.83,1522,2793,4315
버스,금북초등학교.e편한세상금호105동,,2,N,Y,N,127.0237361,37.55553782,금호동1가,11200109,,103900120,4515,서울 성동구 금호동1가 1823,"서울특별시 성동구 금호로 140 (금호동1가, 이편한세상금호파크힐스)",41.63,55.3,96.93,1249,1659,2908
버스,금북초등학교입구,,1,N,Y,N,127.0236162,37.55565589,금호동1가,11200109,,103900196,4827,서울 성동구 금호동1가 168-81,,18.53,16.97,35.5,556,509,1065
버스,금옥초등학교.금호대우아파트,,1,N,Y,N,127.0186519,37.54658996,금호동4가,11200112,,105000466,,서울 성동구 금호동4가 993,,,,,,,
버스,금옥초등학교.금호대우아파트,,1,N,Y,N,127.0189291,37.54647457,금호동4가,11200112,,105000467,,서울 성동구 금호동4가 800,서울특별시 성동구 독서당로 270 (금호동4가),,,,,,
버스,금옥초등학교앞,,7,N,Y,N,127.018237,37.546254,금호동4가,11200112,,103000059,4158,서울 성동구 금호동4가 984-2,,53.77,82.24,136.01,11292,17270,28562
버스,금옥초등학교입구,,1,N,Y,N,127.0197191,37.54688985,금호동4가,11200112,,103900153,,서울 성동구 금호동4가 1202-1,서울특별시 성동구 동호로2나길 19-23 (금호동4가),,,,,,
버스,금호119안전센터,,1,N,Y,N,127.024731,37.554187,금호동1가,11200109,,103900040,4546,서울 성동구 금호동1가 1350-14,,6.9,69.97,76.87,207,2099,2306
버스,금호119안전센터,,3,N,Y,N,127.024578,37.554264,금호동1가,11200109,,103900125,4596,서울 성동구 금호동1가 679-1,,33.87,22.37,56.24,2032,1342,3374
버스,금호1가동주민센터,,2,N,Y,N,127.0221955,37.55512902,금호동1가,11200109,,103900025,4509,서울 성동구 금호동1가 1830,서울특별시 성동구 행당로 22 (금호동1가),9.67,16.87,26.54,290,506,796
버스,금호1가동주민센터,,1,N,Y,N,127.0208123,37.55472829,금호동1가,11200109,,103900185,4811,서울 성동구 금호동1가 127-2,서울특별시 성동구 행당로 15 (금호동1가),58.6,205.53,264.13,1758,6166,7924
버스,금호4가동주민센터.대도빌딩,,1,N,Y,N,127.0225635,37.54805265,금호동4가,11200112,,103900027,4520,서울 성동구 금호동4가 548-1,서울특별시 성동구 독서당로 302 (금호동4가),241.67,116.3,357.97,7250,3489,10739
버스,금호고등학교,,2,N,Y,N,127.021945,37.553475,금호동1가,11200109,,103000048,4147,서울 성동구 금호동1가 558-1,,60.07,89.12,149.19,3604,5347,8951
버스,금호고등학교,,2,N,Y,N,127.023552,37.553096,금호동1가,11200109,,103900056,4651,서울 성동구 금호동1가 1825,,27.7,31.37,59.07,831,941,1772
버스,금호고등학교.금호자이1차아파트입구,,2,N,Y,N,127.0229329,37.55310773,금호동2가,11200110,,103000049,4148,서울 성동구 금호동2가 1214-1,,23.07,40.78,63.85,1384,2447,3831
버스,금호고등학교앞,,1,N,Y,N,127.0233929,37.55297995,금호동2가,11200110,,103900182,4814,서울 성동구 금호동2가 1214-1,,17.23,8.07,25.3,517,242,759
버스,금호공원,,1,N,Y,N,127.019575,37.54967696,금호동3가,11200111,,103900082,4566,서울 성동구 금호동3가 1266,서울특별시 성동구 금호산9길 9 (금호동3가),9.9,62.53,72.43,297,1876,2173
