GID,위도,경도,생활인구수,가까운 지하철역,지하철역까지거리(m)
다사617501,37.54989571,127.0669719,249,성수,1132.1
다사584503,37.55155545,127.0296024,77,행당,638.52
다사597513,37.56062646,127.0442647,121,한양대,454.91
다사575494,37.54340247,127.0194656,278,옥수,272.39
다사606513,37.56066536,127.0544547,22,신답,189.36
다사600490,37.53990892,127.0477866,161,서울숲역,500.89
다사581510,37.55785117,127.0261661,678,행당,298.72
다사569494,37.54337464,127.0126739,333,옥수,450.8
다사588515,37.56238934,127.0340634,265,왕십리,186.72
다사614505,37.55348854,127.0635546,0,신답,1091.42
다사578510,37.55783749,127.0227696,400,신금호,425.34
다사594508,37.55610666,127.0408956,405,한양대,235.88
다사597492,37.54169853,127.0443799,141,서울숲역,222.56
다사605486,37.53632512,127.0534677,136,성수,949.5
다사594514,37.56151463,127.0408624,503,왕십리,321.19
다사593520,37.56691819,127.0396969,162,마장,299.55
다사592517,37.56420979,127.0385813,173,왕십리,274.79
다사606498,37.54714539,127.0545352,78,성수,307.65
다사605516,37.56336507,127.0533063,217,용답,253.02
다사608486,37.53633791,127.0568633,213,성수,925.08
다사602501,37.54983222,127.0499908,167,뚝섬,372.32
다사598493,37.54260422,127.0455064,139,서울숲역,140.13
다사600500,37.54892223,127.0477322,351,뚝섬,195.76
다사591515,37.5624027,127.0374601,159,왕십리,51.12
다사620505,37.55351345,127.0703474,48,신답,1518.41
다사605498,37.54714112,127.0534032,0,성수,360.31
다사574493,37.54249653,127.0183395,439,옥수,130.95
다사599519,37.56604315,127.0464963,133,마장,315.13
다사606492,37.5417374,127.0545674,261,성수,344.8
다사581497,37.5461339,127.0262403,270,옥수,932.27
다사584513,37.56056873,127.0295457,356,행당,363.84
다사579496,37.54522347,127.023982,278,옥수,710.19
다사570492,37.54157665,127.0138175,356,옥수,307.43
다사570499,37.54788594,127.0137766,346,금호,182.11
다사588510,37.55788271,127.0340914,39,왕십리,385.03
다사609486,37.53634215,127.0579951,175,성수,938.27
다사612500,37.54897349,127.0613168,8,성수,674.24
다사580498,37.54703069,127.0251026,133,금호,832.91
다사608497,37.54625258,127.0568046,154,성수,194.63
다사594510,37.55790932,127.0408846,0,한양대,274.16
다사578501,37.54972554,127.0228213,444,신금호,572.51
다사592515,37.56240713,127.0385924,89,왕십리,126.78
다사579511,37.55874338,127.023896,240,행당,518
다사593499,37.54799029,127.0398133,216,서울숲역,643.39
다사575504,37.55241575,127.0194078,92,신금호,248.22
다사569495,37.54427597,127.012668,148,옥수,502.06
다사592516,37.56330846,127.0385868,142,왕십리,189.06
다사582503,37.55154641,127.0273382,719,행당,666.78
다사590524,37.5705102,127.0362776,179,마장,766.19
다사603502,37.55073786,127.0511175,310,뚝섬,513
다사609515,37.56248079,127.0578408,29,신답,173.05
다사590508,37.55608896,127.036367,164,왕십리,568.86
다사589515,37.56239381,127.0351956,25,왕십리,139.99
다사617500,37.54899438,127.0669771,243,성수,1084.06
다사593515,37.56241155,127.0397246,77,왕십리,222.37
다사606491,37.54083606,127.0545727,6,성수,439.6
다사601496,37.54532124,127.0488859,30,뚝섬,244.09
다사612514,37.56159213,127.0612428,453,신답,431.66
다사589504,37.5524792,127.0352572,362,행당,739.03
다사586501,37.54976179,127.0318778,342,행당,864.08
다사575505,37.55331708,127.019402,194,신금호,158.76
다사617503,37.55169838,127.0669614,197,성수,1246.93
다사567492,37.54156262,127.0104217,249,옥수,606.79
다사592519,37.56601244,127.0385702,115,마장,383.52
다사593512,37.55970757,127.0397413,291,왕십리,333.12
다사611491,37.54085728,127.0602324,75,성수,562.29
다사588506,37.55427739,127.0341139,139,행당,528.63
다사580514,37.56145192,127.0250111,592,상왕십리,480.61
다사595500,37.54890042,127.0420719,0,뚝섬,508.25
다사590519,37.56600357,127.0363055,95,왕십리,456.4
다사578502,37.55062687,127.0228156,181,신금호,480.72
다사605488,37.53812779,127.0534569,181,성수,756.33
다사606514,37.56156669,127.0544494,338,신답,167.7
다사602518,37.56515483,127.0498987,33,답십리,306.68
다사595518,37.56512434,127.0419726,0,마장,133.98
다사603515,37.56245515,127.0510472,32,용답,34.88
다사614492,37.54177121,127.063623,0,성수,744.73
다사604499,37.54803816,127.0522658,143,뚝섬,438.34
다사618504,37.55260386,127.0680883,268,성수,1387.61
다사598515,37.56243349,127.0453859,17,마장,458.64
다사603501,37.54983653,127.0511229,0,뚝섬,440.71
다사592510,37.55790049,127.0386202,20,왕십리,454.63
다사606497,37.54624406,127.0545406,113,성수,220.14
다사597517,37.56423178,127.0442427,249,마장,234.88
다사620508,37.55621745,127.0703319,370,신답,1364.01
다사603498,37.54713253,127.0511391,19,뚝섬,328.54
다사599488,37.53810191,127.0466656,268,서울숲역,644.81
다사600498,37.54711957,127.0477431,176,뚝섬,29.87
다사573492,37.54159058,127.0172133,21,옥수,10.52
다사571490,37.53977865,127.0149611,237,옥수,293.38
다사588516,37.56329067,127.0340578,246,왕십리,269.18
다사592506,37.55429518,127.0386424,589,한양대,498.2
다사585521,37.56778385,127.0306327,192,상왕십리,396.35
다사602488,37.5381149,127.0500613,186,서울숲역,779.73
다사606499,37.54804672,127.0545298,143,성수,401.15
다사591519,37.56600801,127.0374378,0,왕십리,449.27
다사595523,37.56963098,127.041945,593,마장,405.63
다사570501,37.54968859,127.0137648,253,금호,237.98
다사598513,37.56063083,127.0453969,209,한양대,480.34
다사589525,37.57140707,127.0351396,50,마장,907.23
다사606494,37.54354006,127.0545567,36,성수,174.49
다사573499,37.54789988,127.0171726,157,금호,129.03
다사599487,37.53720058,127.0466711,225,서울숲역,741.91
다사608496,37.54535125,127.0568099,203,성수,108.55
다사572491,37.54068462,127.0160872,455,옥수,151.94
다사600511,37.55883687,127.0476722,6,한양대,444.94
다사583513,37.56056421,127.0284135,374,행당,375.31
다사574502,37.55060848,127.0182873,104,금호,341.08
다사580508,37.55604396,127.0250454,301,행당,415.16
다사602489,37.53901623,127.0500559,97,서울숲역,702.44
다사582516,37.56326366,127.0272642,385,상왕십리,197.75
다사576499,37.54791372,127.0205687,174,금호,423.58
다사581512,37.55965382,127.0261547,439,행당,393.32
다사618513,37.56071585,127.0680415,67,신답,1034.12
다사583509,37.5569589,127.0284362,75,행당,99.56
다사600502,37.5507249,127.0477213,562,뚝섬,395.11
다사575496,37.54520513,127.0194541,321,옥수,438.15
다사594509,37.55700799,127.0408901,168,한양대,235.28
다사588505,37.55337606,127.0341195,298,행당,597.67
다사598489,37.53899889,127.0455282,274,서울숲역,526.3
다사589505,37.55338053,127.0352516,785,행당,669.57
다사581505,37.55334453,127.0261947,583,행당,526.43
다사580512,37.55964927,127.0250225,148,행당,472.16
다사598497,37.54620955,127.0454845,108,뚝섬,201.37
다사582512,37.55965836,127.0272869,355,행당,326.16
다사606516,37.56336935,127.0544386,350,신답,270.05
다사603518,37.56515914,127.051031,154,답십리,235.07
다사575507,37.55511973,127.0193904,48,신금호,112.5
다사568492,37.54156731,127.0115537,9,옥수,506.99
다사598517,37.56423614,127.045375,371,마장,296.96
다사583516,37.56326819,127.0283964,389,상왕십리,143.67
다사594522,37.56872525,127.0408182,18,마장,348.98
다사586518,37.56508437,127.0317819,319,상왕십리,264.47
다사582501,37.54974376,127.0273496,301,신금호,809.43
다사572493,37.54248728,127.0160756,134,옥수,142.54
다사571498,37.54698927,127.0149144,67,금호,161.68
다사599489,37.53900324,127.0466601,95,서울숲역,548.83
다사595519,37.56602567,127.0419671,18,마장,84.2
다사584511,37.55876608,127.029557,336,행당,163.49
다사596517,37.5642274,127.0431104,203,마장,205.12
다사588514,37.56148802,127.034069,153,왕십리,131.76
다사573494,37.54339324,127.0172017,11,옥수,193.71
다사591510,37.55789606,127.037488,0,왕십리,402.73
다사597515,37.56242912,127.0442537,9,마장,421.12
다사585511,37.55877058,127.0306892,383,행당,195.38
다사609496,37.54535549,127.0579419,69,성수,190.71
다사587511,37.55877956,127.0329536,102,왕십리,347.25
다사598501,37.54981487,127.0454626,130,뚝섬,339.71
다사598518,37.56513747,127.0453695,475,마장,239.24
다사614499,37.54808054,127.0635862,0,성수,772.47
다사577499,37.54791831,127.0217008,112,금호,522.99
다사566491,37.54065659,127.0092957,30,옥수,714.63
다사581514,37.56145647,127.0261433,357,상왕십리,415.55
다사570490,37.53977399,127.0138292,172,옥수,370.76
다사589512,37.55968982,127.0352124,173,왕십리,165.39
다사584520,37.56687802,127.029506,559,상왕십리,269.83
다사574498,37.54700317,127.0183105,217,금호,263.41
다사587500,37.54886495,127.0330155,217,행당,987.99
다사597521,37.56783709,127.0442207,204,마장,227.83
다사587502,37.55066761,127.0330043,278,행당,799.88
다사588523,37.56959996,127.0340185,212,상왕십리,725.84
다사578503,37.5515282,127.0228098,510,신금호,393.07
다사582523,37.56957294,127.0272243,209,상왕십리,582.05
다사580524,37.57046518,127.0249538,868,상왕십리,747.42
다사581523,37.5695684,127.0260919,157,상왕십리,614.14
다사577506,37.5542276,127.0216605,355,신금호,115.03
다사582513,37.56055968,127.0272812,206,행당,411.4
다사587505,37.55337159,127.0329874,547,행당,534.79
다사587499,37.54796362,127.0330211,0,행당,1083.7
다사597502,37.55071184,127.044325,0,뚝섬,477.85
다사572490,37.53978329,127.0160931,334,옥수,233.67
다사597490,37.53989586,127.0443909,143,서울숲역,422.15
다사582524,37.57047427,127.0272186,0,상왕십리,679.67
다사600518,37.56514617,127.0476341,0,마장,427.82
다사607514,37.56157096,127.0555816,0,신답,68.48
다사607516,37.56337362,127.0555709,369,신답,222.48
다사601492,37.54171591,127.0489077,146,서울숲역,431.61
다사610495,37.54445839,127.0590792,0,성수,273.62
다사618500,37.54899853,127.0681091,0,성수,1174.33
다사589506,37.55428186,127.035246,285,행당,608.75
다사598494,37.54350555,127.0455009,245,서울숲역,74.31
다사582505,37.55334907,127.0273268,163,행당,478.34
다사581508,37.55604851,127.0261776,264,행당,322.67
다사580507,37.55514264,127.0250511,208,신금호,415.85
다사579510,37.55784206,127.0239018,51,신금호,482.59
다사610498,37.54716239,127.0590633,150,성수,391.36
다사609484,37.53453949,127.0580058,111,성수,1135.88
다사602491,37.5408189,127.050045,510,서울숲역,569.7
다사576509,37.55692699,127.020511,350,신금호,269.59
다사584516,37.56327271,127.0295287,70,상왕십리,148.65
다사615513,37.56070337,127.0646448,177,신답,736.27
다사581504,37.5524432,127.0262004,360,신금호,560.08
다사579519,37.56595399,127.0238502,287,상왕십리,471.07
다사603492,37.54172454,127.0511716,216,성수,533.08
다사570497,37.54608329,127.0137883,156,금호,300.09
다사578506,37.55423218,127.0227926,616,신금호,212.81
