GID,gid위도,gid경도,생활인구수,동 이름,gid 버스정류장명,gid버스정류장위도,gid버스정류장경도,NODE_ID
다사478432,37.48702298,126.9101064,107,신대방동,신대방1동주민센터,37.487041,126.909579,119900012
다사478432,37.48702298,126.9101064,107,신대방동,신대방1동주민센터,37.487212,126.909746,119900271
다사503461,37.51329916,126.938188,61,노량진동,노량진수산시장.CTS기독교TV,37.513423,126.938456,119000009
다사520441,37.49536258,126.9575539,60,상도동,숭실대정문앞,37.495318,126.957281,119000077
다사535437,37.49183395,126.9745476,381,사당동,극동상가,37.491687,126.974096,119900256
다사490444,37.49790584,126.9235965,113,신대방동,보라매어린이집.문창중학교,37.497719,126.923186,119900098
다사490444,37.49790584,126.9235965,113,신대방동,동작우체국,37.49781,126.923882,119900155
다사528427,37.48278518,126.9666935,244,사당동,갑을명가,37.482572,126.966767,119900043
다사482441,37.49515737,126.9145675,176,신대방동,대방중학교,37.495492,126.914493,119900299
다사494445,37.49882915,126.9281146,13,대방동,7호선신대방삼거리역2번출구.국민은행,37.498966,126.928419,119900004
다사494445,37.49882915,126.9281146,13,신대방동,7호선신대방삼거리역2번출구.국민은행,37.498836,126.928523,119900225
다사489451,37.50420956,126.9224166,207,대방동,예스플러스,37.503964,126.922494,119900146
다사513448,37.50163523,126.949589,230,상도1동,상도역,37.501249,126.94952,119000068
다사503442,37.49617403,126.9383164,379,상도동,보문사,37.496187,126.938586,119900210
다사503442,37.49617403,126.9383164,379,상도동,보문사,37.49612,126.938646,119900214
다사499448,37.50156037,126.9337506,128,상도동,핸드픽트호텔,37.501296,126.933433,119000312
다사499448,37.50156037,126.9337506,128,상도동,핸드픽트호텔,37.501611,126.93353,119000313
다사502442,37.49616865,126.9371851,420,상도동,사거리,37.496036,126.936794,119900118
다사508461,37.51332593,126.9438455,14,노량진동,노량진역,37.513733,126.943811,119000011
다사510461,37.51333657,126.9461085,152,노량진동,사육신공원,37.513367,126.946297,119000026
다사491458,37.51052984,126.9246309,311,대방동,공군호텔,37.510202,126.924618,119000292
다사506453,37.50610468,126.9416362,525,노량진동,새소망교회,37.50621,126.941566,119900096
다사506453,37.50610468,126.9416362,525,노량진동,새소망교회,37.506397,126.942003,119900166
다사505461,37.5133099,126.940451,394,노량진동,9호선노량진역.동작구청,37.513015,126.940089,119900144
다사514460,37.51245638,126.9506411,0,본동,노들역,37.512734,126.950962,119000014
다사514460,37.51245638,126.9506411,0,본동,노들역,37.512565,126.951007,119000029
다사491457,37.50962852,126.9246378,304,대방동,공군호텔,37.510011,126.924541,119000021
다사505458,37.51060594,126.9404712,116,노량진동,동작구청.노량진초등학교앞,37.51055,126.940053,119000097
다사505458,37.51060594,126.9404712,116,노량진동,동작구청.노량진초등학교앞,37.510453,126.940337,119000098
다사514452,37.50524579,126.9506939,99,상도1동,이화약국,37.504951,126.950538,119900009
다사499440,37.49434978,126.933805,281,상도동,영은교회,37.49438,126.933992,119900220
다사499440,37.49434978,126.933805,281,상도동,영은교회,37.494396,126.934095,119900046
다사527431,37.48638538,126.9655368,490,사당동,삼호.오네뜨아파트,37.486604,126.965345,119900276
다사527431,37.48638538,126.9655368,490,사당동,삼호APT.오네뜨아파트,37.486545,126.96563,119900173
다사511450,37.50342731,126.9473131,73,상도1동,상도역.하나은행,37.50382,126.947333,119900244
다사505460,37.51240858,126.9404578,148,노량진동,동작구청정문,37.512377,126.940062,119000134
다사481442,37.49605308,126.9134292,474,신대방동,교수아파트,37.496296,126.913423,119900236
다사541439,37.49366661,126.9813223,17,동작동,정금마을,37.493839,126.981218,119900305
다사541439,37.49366661,126.9813223,17,동작동,정금마을,37.493744,126.981243,119900306
다사523446,37.49988475,126.9609152,296,흑석동,달마사,37.499535,126.960694,119900298
다사505454,37.50700065,126.9404981,249,노량진동,청화병원,37.507245,126.94008,119000100
다사515455,37.50795502,126.9518056,180,상도1동,건영아파트후문,37.507806,126.951503,119900121
다사515455,37.50795502,126.9518056,180,상도1동,건영아파트,37.507883,126.951599,119900205
다사515455,37.50795502,126.9518056,180,본동,극락정사,37.508048,126.951806,119900288
다사498453,37.50606155,126.9325852,146,대방동,사회복지관앞,37.506067,126.933078,119900005
다사498453,37.50606155,126.9325852,146,대방동,사회복지관앞,37.505902,126.933095,119900157
다사523452,37.5052927,126.9608763,0,흑석동,중앙대부속초등학교.롯데캐슬에듀포레,37.504918,126.960786,119900094
다사523452,37.5052927,126.9608763,0,흑석동,중대부속초등학교,37.505372,126.96105,119900028
다사530430,37.48549936,126.9689364,168,사당동,삼거리,37.485535,126.96845,119900183
다사501460,37.51238705,126.9359318,177,노량진동,경성의원.새마을금고앞,37.512619,126.935955,119900190
다사501460,37.51238705,126.9359318,177,노량진동,경성의원.새마을금고앞,37.512794,126.93598,119900150
다사491453,37.50602324,126.9246655,193,대방동,대림아파트후문.성남중.고교,37.505675,126.924815,119900030
다사491453,37.50602324,126.9246655,193,대방동,대림아파트후문.성남중.고교,37.505866,126.924992,119900128
다사492456,37.5087327,126.9257761,492,대방동,성원아파트,37.508822,126.925419,119900133
다사514445,37.49893652,126.9507402,203,상도동,상도동중앙하이츠빌.상도전통시장,37.498813,126.951185,119000069
다사542440,37.4945729,126.9824472,100,동작동,정금마을,37.494339,126.982565,119900199
다사542440,37.4945729,126.9824472,100,동작동,정금마을.방배경찰서,37.494234,126.982614,119000288
다사527454,37.50711592,126.965389,116,흑석동,흑석역.명수현대아파트,37.507456,126.965093,119000280
다사528453,37.50621971,126.9665268,341,흑석동,흑석동주민센터,37.505867,126.96646,119900292
다사526433,37.48818292,126.9643928,180,사당동,신남성초교입구,37.487903,126.964503,119900262
다사530453,37.50622991,126.9687896,107,흑석동,비계,37.506437,126.968584,119000037
다사493446,37.49972499,126.9269765,496,대방동,대림초등학교,37.499608,126.926481,119000052
다사493446,37.49972499,126.9269765,496,대방동,7호선신대방삼거리역4번출구,37.499823,126.926744,119900169
다사498441,37.49524568,126.932667,407,상도동,빙수골공영주차장,37.49528,126.932158,119900025
다사535436,37.49093262,126.974554,583,사당동,극동아파트110동,37.490847,126.974121,119900258
다사489446,37.49970295,126.9224513,123,대방동,서울공업고등학교,37.499775,126.922337,119000050
다사496446,37.4997414,126.9303703,167,대방동,상도3동주민센터,37.499504,126.929893,119900282
다사513460,37.51245111,126.9495096,0,노량진동,노들역,37.512825,126.949256,119000013
다사505452,37.505198,126.9405116,27,상도동,동작문화복지센터.동작보건소,37.504938,126.940791,119000059
다사525434,37.48907912,126.9632552,350,사당동,자이아파트정문앞,37.489137,126.96278,119900081
다사525434,37.48907912,126.9632552,350,사당동,자이아파트정문앞,37.489305,126.962844,119900154
다사525434,37.48907912,126.9632552,350,사당동,자이아파트상가앞,37.488683,126.963156,119900070
다사476433,37.48791298,126.9078371,365,신대방동,성원샹떼빌앞,37.487706,126.908042,119900021
다사531438,37.49271507,126.9700166,8,사당동,사당종합체육관,37.492524,126.969635,119900320
다사533431,37.48641589,126.9723233,448,사당동,대림현대아파트,37.486157,126.972484,119900077
다사542442,37.49637556,126.9824348,109,동작동,갯마을,37.496232,126.982546,119900204
다사502441,37.49526732,126.9371919,415,상도동,제일성민교회,37.495391,126.937331,119900115
다사502441,37.49526732,126.9371919,415,상도동,제일성민교회,37.495337,126.937401,119900215
다사534428,37.48371694,126.9734734,70,사당동,남성역골목시장,37.483805,126.973014,119000087
다사534428,37.48371694,126.9734734,70,사당동,대림프라자.사당3동주민센터,37.483926,126.973876,119900065
다사517449,37.50255755,126.9541078,292,상도동,상도SH빌아파트상도팰리스후문,37.502655,126.953972,119000135
다사528454,37.50712104,126.9665204,131,흑석동,흑석동명수대현대아파트,37.507348,126.966272,119000035
다사508462,37.51422726,126.9438388,0,노량진동,노량진역2번출구,37.513905,126.943467,119000025
다사493449,37.50242895,126.9269558,364,대방동,효주파크빌,37.502728,126.926749,119900311
다사520453,37.50617849,126.9574757,0,흑석동,중앙대중문,37.506489,126.957356,119900255
다사524446,37.4998899,126.9620465,110,흑석동,서달산약수터,37.499849,126.962022,119900297
다사501461,37.51328837,126.935925,20,노량진동,KT동작지사,37.51304,126.93566,119000023
다사533433,37.48821855,126.9723107,273,사당동,대림아파트후문,37.488652,126.972185,119900071
다사533433,37.48821855,126.9723107,273,사당동,대림아파트후문,37.488462,126.972591,119900182
