GID,위도,경도,생활인구수,가까운 지하철역,지하철역까지거리(m),격자 내 정류장수
다사620508,37.55621745,127.0703319,370.0,신답,1364.01,0.0
다사599488,37.53810191,127.0466656,268.0,서울숲역,644.81,0.0
다사599487,37.53720058,127.0466711,225.0,서울숲역,741.91,0.0
다사588505,37.55337606,127.0341195,298.0,행당,597.67,0.0
다사598489,37.53899889,127.0455282,274.0,서울숲역,526.3,0.0
다사589505,37.55338053,127.0352516,785.0,행당,669.57,0.0
다사581505,37.55334453,127.0261947,583.0,행당,526.43,0.0
다사582501,37.54974376,127.0273496,301.0,신금호,809.43,0.0
다사587500,37.54886495,127.0330155,217.0,행당,987.99,0.0
다사588523,37.56959996,127.0340185,212.0,상왕십리,725.84,0.0
다사582523,37.56957294,127.0272243,209.0,상왕십리,582.05,0.0
다사580524,37.57046518,127.0249538,868.0,상왕십리,747.42,0.0
다사589506,37.55428186,127.035246,285.0,행당,608.75,0.0
다사581504,37.5524432,127.0262004,360.0,신금호,560.08,0.0
다사603492,37.54172454,127.0511716,216.0,성수,533.08,0.0
다사584502,37.55065413,127.029608,513.0,행당,738.74,0.0
다사586522,37.56868967,127.0317594,228.0,상왕십리,530.46,0.0
다사617502,37.55079705,127.0669667,297.0,성수,1186.68,0.0
다사616496,37.54538489,127.0658659,212.0,성수,875.37,0.0
다사620506,37.55441479,127.0703422,213.0,신답,1461.89,0.0
다사578495,37.54431757,127.0228558,314.0,옥수,572.24,0.0
다사583500,37.54884695,127.0284873,255.0,행당,943.69,0.0
다사615500,37.54898605,127.064713,322.0,성수,909.5,0.0
다사590504,37.55248365,127.0363893,500.0,한양대,775.13,0.0
다사605500,37.54894378,127.0533924,351.0,성수,531.47,0.0
다사619512,37.55981865,127.0691789,478.0,신답,1145.79,0.0
다사580523,37.56956385,127.0249596,312.0,상왕십리,659.89,0.0
다사616500,37.54899022,127.065845,269.0,성수,995.6,0.0
다사604485,37.5354195,127.0523412,288.0,성수,1073.1,0.0
다사577501,37.54972096,127.0216893,299.0,신금호,543.8,0.0
다사620507,37.55531612,127.070337,611.0,신답,1410.24,0.0
다사609487,37.53724349,127.0579898,258.0,성수,839.97,0.0
다사610487,37.53724772,127.0591217,308.0,성수,866.05,0.0
다사581522,37.56866708,127.0260976,303.0,상왕십리,523.53,0.0
다사567493,37.54246395,127.0104158,325.0,옥수,613.88,0.0
다사579523,37.56955929,127.0238272,364.0,상왕십리,716.72,0.0
다사597489,37.53899453,127.0443963,432.0,서울숲역,522.19,0.0
다사583502,37.55064961,127.0284759,319.0,행당,744.46,0.0
다사578511,37.55873881,127.0227638,431.0,신금호,514.82,0.0
다사617511,37.55890904,127.0669197,325.0,신답,974.39,0.0
다사590507,37.55518763,127.0363726,835.0,한양대,647.42,0.0
다사604487,37.53722217,127.0523304,216.0,성수,884.22,0.0
다사580502,37.550636,127.0250797,315.0,신금호,595.78,0.0
다사591506,37.55429075,127.0375103,322.0,한양대,586.48,0.0
다사589508,37.55608451,127.0352348,266.0,행당,524.72,0.0
다사579521,37.56775664,127.0238387,253.0,상왕십리,572.38,0.0
다사613494,37.54356969,127.0624805,272.0,성수,584.81,0.0
다사600487,37.53720492,127.0478029,256.0,서울숲역,771.09,0.0
다사603486,37.53631654,127.051204,408.0,서울숲역,1000.64,0.0
다사601489,37.53901191,127.048924,339.0,서울숲역,639.87,0.0
다사586502,37.55066312,127.0318722,212.0,행당,767.16,0.0
다사580501,37.54973467,127.0250854,249.0,신금호,672.03,0.0
다사577496,37.54521432,127.0217181,272.0,옥수,555.28,0.0
다사586523,37.569591,127.0317537,325.0,상왕십리,620.05,0.0
다사598488,37.53809756,127.0455337,353.0,서울숲역,625.74,0.0
다사590505,37.55338498,127.0363837,302.0,한양대,721.24,0.0
다사606486,37.5363294,127.0545996,238.0,성수,930.79,0.0
다사588520,37.56689598,127.0340353,227.0,상왕십리,527.11,0.0
