GID,위도,경도,생활인구수,지하철역까지거리_m_,격자_내_정류장수,법정동명,법정동_주민등록인구수,반경150m_정류장수,반경300m_정류장수,반경400m_정류장수,노선_수_,인가대수_대__합계_,배차간격_분__평균_,최소배차_분__평균_,최대배차_분__평균_,총하차인원_lightgbm
다사483441,37.49516297,126.9156987,366,215.6,0,신대방동,45025,2,14,20,3.170132325141777,42.71077504725898,15.177164461247635,11.782230623818524,17.778260869565216,5034.533205455347
다사512458,37.51064319,126.9483914,314,473.31,0,본동,10520,0,8,22,3.170132325141777,42.71077504725898,15.177164461247635,11.782230623818524,17.778260869565216,7863.566661535552
다사522455,37.50799151,126.9597255,251,350.99,0,흑석동,30047,4,15,18,3.170132325141777,42.71077504725898,15.177164461247635,11.782230623818524,17.778260869565216,5945.736187976352
다사510453,37.50612598,126.9461618,340,403.06,0,상도동,114034,4,19,30,3.170132325141777,42.71077504725898,15.177164461247635,11.782230623818524,17.778260869565216,7410.542489828241
다사499449,37.50246169,126.9337438,303,535.97,0,상도동,114034,5,10,17,3.170132325141777,42.71077504725898,15.177164461247635,11.782230623818524,17.778260869565216,12354.948397394262
다사510443,37.49711274,126.9462284,340,649.27,0,상도동,114034,0,5,12,3.170132325141777,42.71077504725898,15.177164461247635,11.782230623818524,17.778260869565216,15108.909535207587
다사528431,37.4863905,126.9666679,286,435.11,0,사당동,95821,4,14,19,3.170132325141777,42.71077504725898,15.177164461247635,11.782230623818524,17.778260869565216,8376.164471552112
다사540428,37.48374699,126.9802597,346,337.0,0,사당동,95821,6,13,19,3.170132325141777,42.71077504725898,15.177164461247635,11.782230623818524,17.778260869565216,6590.597307427948
다사538422,37.47832903,126.9780353,289,374.74,0,사당동,95821,0,2,7,3.170132325141777,42.71077504725898,15.177164461247635,11.782230623818524,17.778260869565216,14382.391295933774
다사541440,37.49456794,126.981316,275,859.18,0,동작동,5504,5,8,11,3.170132325141777,42.71077504725898,15.177164461247635,11.782230623818524,17.778260869565216,9571.736515995733
다사496448,37.50154405,126.9303566,295,277.25,0,상도동,114034,0,11,17,3.170132325141777,42.71077504725898,15.177164461247635,11.782230623818524,17.778260869565216,12620.744686142414
다사537421,37.47742269,126.9769106,346,428.06,0,사당동,95821,2,2,5,3.170132325141777,42.71077504725898,15.177164461247635,11.782230623818524,17.778260869565216,14739.50189167653
다사492457,37.50963402,126.9257692,507,328.57,0,대방동,34112,4,9,20,3.170132325141777,42.71077504725898,15.177164461247635,11.782230623818524,17.778260869565216,9085.347878067088
다사528432,37.48729182,126.9666615,299,487.6,0,사당동,95821,3,14,20,3.170132325141777,42.71077504725898,15.177164461247635,11.782230623818524,17.778260869565216,7642.1868251684855
다사513455,37.5079445,126.9495427,751,590.14,0,노량진동,30270,0,17,24,3.170132325141777,42.71077504725898,15.177164461247635,11.782230623818524,17.778260869565216,5980.772023569637
다사539424,37.48013668,126.9791537,442,456.17,0,사당동,95821,0,4,8,3.170132325141777,42.71077504725898,15.177164461247635,11.782230623818524,17.778260869565216,14393.21305971365
다사510459,37.51153392,126.9461218,343,279.09,0,노량진동,30270,0,7,16,3.170132325141777,42.71077504725898,15.177164461247635,11.782230623818524,17.778260869565216,19034.259569891638
다사512451,37.50433392,126.9484378,415,177.01,0,상도1동,9802,6,18,31,3.170132325141777,42.71077504725898,15.177164461247635,11.782230623818524,17.778260869565216,6014.058664392615
다사509445,37.49891008,126.9450838,275,500.02,0,상도동,114034,2,7,15,3.170132325141777,42.71077504725898,15.177164461247635,11.782230623818524,17.778260869565216,17913.978790274214
다사497442,37.49614156,126.9315289,368,493.33,0,상도동,114034,6,15,24,3.170132325141777,42.71077504725898,15.177164461247635,11.782230623818524,17.778260869565216,9043.19799202801
다사482439,37.49335473,126.9145816,507,398.54,0,신대방동,45025,2,6,16,3.170132325141777,42.71077504725898,15.177164461247635,11.782230623818524,17.778260869565216,14231.643192678426
다사492441,37.49521289,126.9258797,433,309.15,0,신대방동,45025,1,5,12,3.170132325141777,42.71077504725898,15.177164461247635,11.782230623818524,17.778260869565216,18277.462492416165
다사514441,37.49533122,126.9507666,454,274.38,0,상도동,114034,0,4,9,3.170132325141777,42.71077504725898,15.177164461247635,11.782230623818524,17.778260869565216,18180.357125794264
다사534421,37.47740762,126.9735177,476,722.48,0,사당동,95821,0,2,4,3.170132325141777,42.71077504725898,15.177164461247635,11.782230623818524,17.778260869565216,13819.41392707212
다사496440,37.49433347,126.9304114,405,519.0,0,상도동,114034,0,11,22,3.170132325141777,42.71077504725898,15.177164461247635,11.782230623818524,17.778260869565216,7738.11006425842
다사539434,37.48915,126.9790911,700,373.23,0,사당동,95821,0,5,13,3.170132325141777,42.71077504725898,15.177164461247635,11.782230623818524,17.778260869565216,13859.75592222301
다사518445,37.49895747,126.9552653,454,332.31,0,상도동,114034,0,6,14,3.170132325141777,42.71077504725898,15.177164461247635,11.782230623818524,17.778260869565216,14542.22658127974
다사492455,37.50783138,126.925783,474,362.02,0,대방동,34112,3,11,20,3.170132325141777,42.71077504725898,15.177164461247635,11.782230623818524,17.778260869565216,7388.93483890519
다사508457,37.50972064,126.9438723,275,463.82,0,노량진동,30270,3,10,15,3.170132325141777,42.71077504725898,15.177164461247635,11.782230623818524,17.778260869565216,11543.070491571967
다사501444,37.4979659,126.9360403,384,717.01,0,상도동,114034,2,5,21,3.170132325141777,42.71077504725898,15.177164461247635,11.782230623818524,17.778260869565216,11664.313522545224
다사529432,37.48729693,126.9677926,242,411.98,0,사당동,95821,3,14,20,3.170132325141777,42.71077504725898,15.177164461247635,11.782230623818524,17.778260869565216,6126.361423202627
다사495462,37.51415708,126.9291292,458,290.52,0,대방동,34112,1,10,13,3.170132325141777,42.71077504725898,15.177164461247635,11.782230623818524,17.778260869565216,17075.536424692564
다사509449,37.50251538,126.9450571,254,256.93,0,상도동,114034,6,15,25,3.170132325141777,42.71077504725898,15.177164461247635,11.782230623818524,17.778260869565216,7396.954122346595
다사542443,37.49727689,126.9824286,315,638.93,0,동작동,5504,4,6,11,3.170132325141777,42.71077504725898,15.177164461247635,11.782230623818524,17.778260869565216,11722.101699336017
