,기준_날짜,행정동_ID,승객_수,승객_수_00시,승객_수_01시,승객_수_02시,승객_수_03시,승객_수_04시,승객_수_05시,승객_수_06시,승객_수_07시,승객_수_08시,승객_수_09시,승객_수_10시,승객_수_11시,승객_수_12시,승객_수_13시,승객_수_14시,승객_수_15시,승객_수_16시,승객_수_17시,승객_수_18시,승객_수_19시,승객_수_20시,승객_수_21시,승객_수_22시,승객_수_23시,행정동_명칭,자치구_명칭,시도_명칭
45,2025-05-11,11200730,36207.0,111.0,20.0,12.0,2.0,10.0,295.0,523.0,706.0,1372.0,1810.0,2086.0,2096.0,2668.0,2929.0,2885.0,2774.0,2824.0,2656.0,2370.0,2132.0,2066.0,1882.0,1390.0,588.0,사당2동,동작구,서울
46,2025-05-11,11200720,47279.0,144.0,17.0,7.0,7.0,50.0,544.0,801.0,1064.0,1994.0,2492.0,2704.0,3137.0,3364.0,3306.0,3303.0,3274.0,3486.0,3330.0,3008.0,2894.0,3053.0,2489.0,1825.0,986.0,노량진1동,동작구,서울
47,2025-05-11,11200710,17211.0,83.0,0.0,0.0,0.0,11.0,165.0,294.0,468.0,685.0,804.0,1143.0,1120.0,1362.0,1355.0,1347.0,1268.0,1122.0,1255.0,1043.0,903.0,917.0,768.0,756.0,342.0,흑석동,동작구,서울
48,2025-05-11,11200700,11474.0,32.0,8.0,8.0,4.0,26.0,103.0,174.0,293.0,450.0,611.0,740.0,731.0,958.0,933.0,881.0,1009.0,979.0,773.0,652.0,622.0,560.0,417.0,346.0,164.0,신대방2동,동작구,서울
49,2025-05-11,11200690,4903.0,9.0,0.0,0.0,0.0,21.0,47.0,64.0,133.0,259.0,380.0,352.0,409.0,367.0,458.0,409.0,329.0,355.0,350.0,301.0,176.0,167.0,140.0,131.0,46.0,신대방1동,동작구,서울
50,2025-05-11,11200680,28907.0,47.0,0.0,1.0,0.0,16.0,354.0,578.0,829.0,1493.0,2002.0,2044.0,1963.0,2382.0,2456.0,2201.0,1952.0,2511.0,1872.0,1575.0,1348.0,1107.0,1011.0,770.0,395.0,대방동,동작구,서울
51,2025-05-11,11200670,2677.0,0.0,1.0,3.0,5.0,3.0,30.0,62.0,99.0,191.0,219.0,233.0,252.0,245.0,245.0,187.0,179.0,176.0,162.0,122.0,71.0,84.0,59.0,33.0,16.0,사당5동,동작구,서울
52,2025-05-11,11200660,7488.0,1.0,3.0,1.0,2.0,1.0,115.0,225.0,315.0,476.0,732.0,708.0,593.0,705.0,615.0,579.0,487.0,398.0,402.0,304.0,225.0,227.0,189.0,132.0,53.0,사당4동,동작구,서울
53,2025-05-11,11200650,4232.0,16.0,4.0,3.0,1.0,0.0,48.0,98.0,106.0,233.0,291.0,347.0,336.0,338.0,322.0,300.0,289.0,279.0,277.0,204.0,195.0,163.0,175.0,138.0,69.0,사당3동,동작구,서울
54,2025-05-11,11200630,7199.0,158.0,35.0,36.0,20.0,23.0,57.0,113.0,118.0,236.0,350.0,364.0,402.0,418.0,460.0,459.0,463.0,478.0,420.0,460.0,435.0,469.0,478.0,425.0,322.0,사당1동,동작구,서울
55,2025-05-11,11200560,4569.0,3.0,0.0,0.0,0.0,6.0,75.0,115.0,206.0,294.0,389.0,420.0,394.0,400.0,391.0,332.0,312.0,275.0,281.0,193.0,182.0,138.0,76.0,61.0,26.0,상도4동,동작구,서울
56,2025-05-11,11200550,6440.0,10.0,2.0,4.0,7.0,16.0,72.0,125.0,183.0,313.0,428.0,479.0,444.0,515.0,534.0,499.0,430.0,512.0,395.0,366.0,336.0,278.0,250.0,177.0,65.0,상도3동,동작구,서울
57,2025-05-11,11200540,12492.0,32.0,5.0,4.0,6.0,17.0,173.0,274.0,381.0,613.0,917.0,941.0,903.0,971.0,1063.0,914.0,828.0,786.0,800.0,719.0,634.0,569.0,442.0,332.0,168.0,상도2동,동작구,서울
58,2025-05-11,11200530,35631.0,82.0,13.0,12.0,12.0,32.0,413.0,665.0,874.0,1719.0,2313.0,2516.0,2469.0,2806.0,2753.0,2536.0,2694.0,2634.0,2442.0,2008.0,1601.0,1489.0,1432.0,1306.0,810.0,상도1동,동작구,서울
59,2025-05-11,11200520,9535.0,59.0,37.0,31.0,38.0,28.0,77.0,100.0,155.0,305.0,479.0,471.0,492.0,561.0,653.0,612.0,615.0,754.0,729.0,704.0,565.0,650.0,645.0,530.0,245.0,노량진2동,동작구,서울
60,2025-05-10,11200730,43192.0,181.0,26.0,14.0,10.0,11.0,428.0,749.0,1054.0,1775.0,2352.0,2517.0,2819.0,3110.0,3136.0,3200.0,3322.0,3605.0,3111.0,2495.0,2168.0,2075.0,2065.0,1924.0,1045.0,사당2동,동작구,서울
