GID,위도,경도,생활인구수,지하철역까지거리(m),격자_내_정류장수,법정동명,법정동_주민등록인구수,반경150m_정류장수,반경300m_정류장수,반경400m_정류장수,노선(수),"인가대수(대, 합계)","배차간격(분, 평균)","최소배차(분, 평균)","최대배차(분, 평균)",총하차인원_lr
다사491451,37.5042206,126.9246793,310,253.22,0,대방동,34112,3,14,19,3.170132325141777,42.71077504725898,15.177164461247635,11.782230623818524,17.778260869565216,11082.19647486832
다사533453,37.50624513,126.9721838,318,764.91,0,흑석동,30047,3,4,6,3.170132325141777,42.71077504725898,15.177164461247635,11.782230623818524,17.778260869565216,10550.11227551968
다사536421,37.47741768,126.9757796,443,525.58,0,사당동,95821,0,3,4,3.170132325141777,42.71077504725898,15.177164461247635,11.782230623818524,17.778260869565216,11708.078107404743
다사512447,37.50072863,126.9484644,292,233.68,0,상도동,114034,2,9,14,3.170132325141777,42.71077504725898,15.177164461247635,11.782230623818524,17.778260869565216,13907.859322019047
다사521440,37.49446644,126.9586917,361,487.45,0,상도동,114034,2,7,15,3.170132325141777,42.71077504725898,15.177164461247635,11.782230623818524,17.778260869565216,11480.954146697408
다사514456,37.50885109,126.9506675,437,482.96,0,본동,10520,5,13,23,3.170132325141777,42.71077504725898,15.177164461247635,11.782230623818524,17.778260869565216,8368.077242762209
다사521450,37.5034797,126.9586266,405,752.25,0,흑석동,30047,0,5,15,3.170132325141777,42.71077504725898,15.177164461247635,11.782230623818524,17.778260869565216,5911.893087285449
다사532420,37.47649619,126.9712621,332,695.84,0,사당동,95821,1,2,2,3.170132325141777,42.71077504725898,15.177164461247635,11.782230623818524,17.778260869565216,12358.883876330226
다사525437,37.4917831,126.9632359,376,981.3,0,사당동,95821,1,4,9,3.170132325141777,42.71077504725898,15.177164461247635,11.782230623818524,17.778260869565216,8458.696560309687
다사535425,37.48101799,126.9746234,472,512.59,0,사당동,95821,0,1,7,3.170132325141777,42.71077504725898,15.177164461247635,11.782230623818524,17.778260869565216,10765.680350231354
다사503457,37.50969387,126.9382151,279,543.88,0,노량진동,30270,0,4,8,3.170132325141777,42.71077504725898,15.177164461247635,11.782230623818524,17.778260869565216,9834.067531269988
다사535429,37.48462331,126.9745982,263,308.04,0,사당동,95821,2,16,24,3.170132325141777,42.71077504725898,15.177164461247635,11.782230623818524,17.778260869565216,10766.572062930043
다사490437,37.49159658,126.9236449,819,155.07,0,신대방동,45025,7,14,18,3.170132325141777,42.71077504725898,15.177164461247635,11.782230623818524,17.778260869565216,11772.927454102557
다사494447,37.50063179,126.9281009,405,102.24,0,대방동,34112,2,12,22,3.170132325141777,42.71077504725898,15.177164461247635,11.782230623818524,17.778260869565216,10027.130571837915
다사483441,37.49516297,126.9156987,366,215.6,0,신대방동,45025,2,14,20,3.170132325141777,42.71077504725898,15.177164461247635,11.782230623818524,17.778260869565216,10391.921276202604
다사512458,37.51064319,126.9483914,314,473.31,0,본동,10520,0,8,22,3.170132325141777,42.71077504725898,15.177164461247635,11.782230623818524,17.778260869565216,6077.136825247706
다사522455,37.50799151,126.9597255,251,350.99,0,흑석동,30047,4,15,18,3.170132325141777,42.71077504725898,15.177164461247635,11.782230623818524,17.778260869565216,11609.825642989468
다사510453,37.50612598,126.9461618,340,403.06,0,상도동,114034,4,19,30,3.170132325141777,42.71077504725898,15.177164461247635,11.782230623818524,17.778260869565216,9973.137573738999
다사499449,37.50246169,126.9337438,303,535.97,0,상도동,114034,5,10,17,3.170132325141777,42.71077504725898,15.177164461247635,11.782230623818524,17.778260869565216,12994.65622409716
다사510443,37.49711274,126.9462284,340,649.27,0,상도동,114034,0,5,12,3.170132325141777,42.71077504725898,15.177164461247635,11.782230623818524,17.778260869565216,9975.96268645812
다사528431,37.4863905,126.9666679,286,435.11,0,사당동,95821,4,14,19,3.170132325141777,42.71077504725898,15.177164461247635,11.782230623818524,17.778260869565216,12279.893689430388
다사540428,37.48374699,126.9802597,346,337.0,0,사당동,95821,6,13,19,3.170132325141777,42.71077504725898,15.177164461247635,11.782230623818524,17.778260869565216,13799.351218399896
다사538422,37.47832903,126.9780353,289,374.74,0,사당동,95821,0,2,7,3.170132325141777,42.71077504725898,15.177164461247635,11.782230623818524,17.778260869565216,12807.720828600904
다사541440,37.49456794,126.981316,275,859.18,0,동작동,5504,5,8,11,3.170132325141777,42.71077504725898,15.177164461247635,11.782230623818524,17.778260869565216,9648.412301029166
