NODE_ID,정류소명,X좌표,Y좌표,법정동명
103000163,서울숲1번출입구,127.0426959,37.54222306,성수동1가
103000164,서울숲1번출입구,127.0429744,37.54197811,성수동1가
103000165,용답휴식공원,127.0480538,37.56931211,용답동
103000166,용답휴식공원,127.0479373,37.56955418,용답동
103000167,성수2가3동주민센터,127.0542376,37.55042513,송정동
103000168,극동그린아파트앞,127.0113917,37.54200084,옥수동
103000169,마장역,127.0430338,37.56634697,마장동
103000170,행당신동아.행당푸르지오아파트,127.0340193,37.55614084,행당동
103000171,숭신초등학교,127.0281959,37.56716762,하왕십리동
103000172,극동아파트,127.0239338,37.55809745,하왕십리동
103000173,풍림아파트,127.0239062,37.55914272,하왕십리동
103000174,벽산아파트,127.0256886,37.55560229,행당동
103000175,대림아파트,127.024926,37.55657383,행당동
103000176,행당역,127.0290983,37.5570009,행당동
103000177,행당역,127.0287644,37.55707937,행당동
103000178,무학여고,127.0330163,37.55839115,행당동
103000179,극동그린아파트,127.011905,37.54206463,옥수동
103000183,성수동차고지,127.055682,37.535793,성수동2가
103000185,제민약국,127.0585185,37.53659215,성수동2가
103000186,왕십리자이.신당현대아파트,127.02363,37.560847,하왕십리동
103000187,왕십리자이.신당현대아파트,127.0241021,37.5611519,하왕십리동
103000188,제민약국,127.058488,37.536507,성수동2가
103000189,우리은행화양동지점,127.0661377,37.54811642,성수동2가
103000191,황학교.텐즈힐몰,127.0236037,37.57005175,상왕십리동
105000455,마장동주민센터,127.0446425,37.56706321,마장동
103000293,왕십리광장.왕십리역7번출구,127.0368888,37.56112833,행당동
103000292,왕십리광장.왕십리역4번출구,127.0371334,37.56136444,행당동
103000297,한양대동문앞,127.049676,37.55564329,사근동
103000295,왕십리도선동주민센터,127.0244127,37.56781696,상왕십리동
103000296,한양여대앞,127.0506193,37.55922439,사근동
103000505,행당중학교,127.044352,37.553821,행당동
103000516,살곶이체육공원앞,127.0510192,37.55635904,사근동
103900152,송정동현대아이파크아파트,127.0686201,37.55218712,송정동
103900149,극동아파트5동,127.011079,37.54315954,옥수동
103900142,대우아파트관리실,127.0199839,37.54621412,금호동4가
103900022,신금호역,127.0204908,37.55459318,금호동1가
103900150,옥수역,127.0168166,37.54148275,옥수동
104900130,송정동자치회관,127.0687628,37.55088549,송정동
103900143,대우아파트후문,127.0216589,37.54693907,금호동4가
103900025,금호1가동주민센터,127.0221955,37.55512902,금호동1가
103900116,왕십리민자역사,127.0378535,37.56184269,행당동
103900024,무쇠막,127.0246948,37.54527775,금호동4가
103900295,송정어린이집,127.0677474,37.54900258,송정동
103900026,대경생활과학고등학교,127.017537,37.55597143,금호동2가
103900120,금북초등학교.e편한세상금호105동,127.0237361,37.55553782,금호동1가
103900065,무학여고,127.0339124,37.55749161,행당동
103900145,힐스테이트서울숲리버,127.0253856,37.54674459,금호동4가
104900131,성수SKV1센터1동,127.0655812,37.54581693,성수동2가
103900067,극동아파트상가,127.0121009,37.54291975,옥수동
103900027,금호4가동주민센터.대도빌딩,127.0225635,37.54805265,금호동4가
103900028,화단삼거리,127.0198767,37.54841742,금호동3가
103900068,금호어린이집,127.0186202,37.5567335,금호동2가
103900029,논골.금호벽산아파트.성동공유센터,127.0253044,37.55553949,금호동1가
103900117,행당서울숲푸르지오상가앞,127.0338927,37.55561737,행당동
103900300,법학학술정보관,127.048575,37.55704033,사근동
103900296,성수이비즈센터,127.0630584,37.5465774,성수동2가
103900069,한남하이츠아파트,127.0115923,37.54005431,옥수동
103900070,금호사거리,127.0252691,37.54800159,금호동4가
103900031,금호산입구,127.0195737,37.55672209,금호동2가
103900032,한진아파트후문,127.0269971,37.5560183,행당동
103900071,신동아아파트후문,127.0326937,37.55489468,행당동
103900301,올림픽체육관맞은편,127.0492908,37.55693416,사근동
103900297,경수중학교입구,127.0600883,37.54351104,성수동2가
103900146,제일감리교회,127.0269037,37.54786612,금호동4가
103900133,신금호역,127.0196369,37.55438062,금호동2가
103900302,제3법학관,127.0486368,37.55623391,사근동
103900034,행당서울숲푸르지오109동앞,127.0317164,37.55445344,행당동
103900035,벽산아파트정문,127.0252792,37.5526575,금호동1가
103900298,성수역2번출구,127.0576391,37.5442691,성수동2가
103900037,옥수종합사회복지관,127.0128519,37.54088049,옥수동
103900126,응봉동현대아파트,127.0307682,37.54980253,응봉동
103900038,행당2동주민센터,127.0306538,37.5577376,행당동
103900072,응봉경로당앞,127.0316422,37.55262793,응봉동
103900040,금호119안전센터,127.0247308,37.55418706,금호동1가
103900299,경동초등학교입구,127.0511563,37.54589389,성수동2가
103900041,옥수삼성아파트,127.0139485,37.54063526,옥수동
103900074,현대공업사앞,127.0325678,37.54995073,응봉동
103900134,두산상가후문.106동,127.0167387,37.5491854,금호동3가
103900075,중앙병원,127.0193176,37.55196128,금호동2가
103900019,무학중학교.무학여고,127.0331283,37.55821,행당동
103900039,만물상회앞,127.0312234,37.55282727,응봉동
103900076,논골사거리,127.0248124,37.55531503,금호동1가
103900078,응봉초등학교.대림아파트,127.0334307,37.55106784,응봉동
103900043,한신아파트,127.0192957,37.55075381,금호동3가
103900303,올림픽체육관앞,127.0496304,37.55701511,사근동
103900042,상봉노인정앞,127.0302832,37.55287394,응봉동
105000454,논골신협.대림아파트후문,127.0245744,37.55770298,금호동1가
103900079,옥수삼성아파트,127.0143208,37.54075326,옥수동
103900045,응봉역.광희중,127.0344339,37.55204254,응봉동
103900080,우리은행.백범학원터,127.0211726,37.54800691,금호동4가
103900082,금호공원,127.019575,37.54967696,금호동3가
103900122,대현산체육관입구,127.0298542,37.5530799,응봉동
103900304,한양대학교경영대학,127.0485298,37.5570854,사근동
103900083,지하철2호선성수역,127.0546618,37.54477028,성수동2가
103900084,옥수종합사회복지관,127.0132276,37.54088675,옥수동
103900144,대우아파트입구,127.0191632,37.54598344,금호동4가
103900020,원형화단,127.0194898,37.54859296,금호동3가
103900085,성동구청,127.0364064,37.56413555,행당동
103900047,금봉어린이집.또또와마트,127.0288091,37.55290619,금호동1가
103900305,한양대병원후문,127.0419652,37.56000511,행당동
103900048,경수중학교입구,127.0596206,37.54336298,성수동2가
103900049,옥정중학교,127.0113322,37.54133299,옥수동
103900086,응봉사거리,127.0345427,37.55486744,행당동
103900051,천은교회.성동청소년상담복지센터,127.0267907,37.55469568,행당동
103900151,극동아파트상가,127.0123679,37.54291161,옥수동
103900088,무학여고,127.0342554,37.55771859,행당동
103900089,한전입구,127.0351185,37.5662652,마장동
103900050,논골입구.성동공유센터,127.0255716,37.55554964,행당동
103900090,극동아파트7동,127.012754,37.54361893,옥수동
103900112,성동보건소,127.0331863,37.56649464,홍익동
103900123,행당역.대림아파트정문,127.0286716,37.55704966,행당동
103900052,청계벽산아파트,127.0303705,37.56826244,하왕십리동
103900124,논골.e편한세상금호114동,127.0246041,37.55519162,금호동1가
103900113,코스모타워,127.0332904,37.56279399,도선동
103900091,화단앞,127.019654,37.54862447,금호동3가
103900092,성동사회복지관.청계천박물관,127.0334778,37.57030347,마장동
103900125,금호119안전센터,127.0245724,37.55426368,금호동1가
103900093,왕약국,127.0655473,37.54834119,송정동
103900114,상왕십리역,127.0302514,37.5647437,도선동
103900094,금호공원,127.0197742,37.5496508,금호동3가
103900095,성동구도시관리공단.서울시시설관리공단,127.0368612,37.57182891,마장동
103900131,e편한세상금호117동,127.0246822,37.55265763,금호동1가
103900053,왕십리자이.신당현대아파트,127.0236902,37.56084707,하왕십리동
103900096,중앙슈퍼,127.0665318,37.54951566,송정동
103900054,한신아파트,127.0194078,37.5507583,금호동3가
103900056,금호고등학교,127.023553,37.55309839,금호동1가
103900111,극동.풍림아파트,127.023641,37.55904489,하왕십리동
103900057,GS25,127.0671618,37.55030467,송정동
103900097,중앙병원앞,127.0194715,37.55212796,금호동2가
103900098,도선동사거리,127.0365327,37.56676758,마장동
103900058,논골신협.대림아파트후문,127.0245189,37.55751195,금호동1가
103900099,송정동자치회관입구,127.0678257,37.5511351,송정동
103900115,성동구청,127.036041,37.56335405,도선동
103900100,논골사거리,127.0247742,37.55612602,금호동1가
103900101,신금호역,127.0197856,37.55433559,금호동2가
103900017,성동중앙교회.벽산아파트정문,127.0248775,37.55300672,금호동1가
103900018,무학중학교.무학여고,127.0332891,37.55842262,행당동
103900104,천은교회.성동청소년상담복지센터,127.0266661,37.55459194,금호동1가
103900059,금호어린이집,127.0182315,37.556743,금호동2가
103900105,행당2동주민센터,127.0304206,37.55782957,행당동
103900060,금봉어린이집.또또와마트,127.0287944,37.55264238,금호동1가
103900106,대경생활과학고등학교,127.0175178,37.55606875,금호동2가
103900107,대현산체육관입구,127.0297135,37.55296294,응봉동
103900147,GS주유소,127.0251254,37.54681133,금호동4가
103900108,대림아파트후문,127.0269327,37.5561715,행당동
103900109,상봉노인정앞,127.0302182,37.55267311,응봉동
103900110,서울숲푸르지오아파트정문,127.0243938,37.54525619,금호동4가
103900127,대림상가,127.0344662,37.55387828,응봉동
103900061,충북상회,127.0310094,37.5527923,응봉동
103900062,서울숲푸르지오아파트후문,127.0228036,37.5435444,금호동4가
103000278,무학여고,127.0338768,37.5581244,행당동
103000279,무학여고,127.0342446,37.55809952,행당동
103000280,응봉사거리,127.0340902,37.5553019,행당동
103000281,응봉사거리,127.0344919,37.55508011,행당동
103900016,응봉역.광희중,127.0344034,37.55220114,응봉동
103900015,응봉경로당앞,127.031694,37.55238843,응봉동
103900163,금호초등학교,127.0194943,37.55268843,금호동2가
