GID,위도,경도,생활인구수,지하철역까지거리_m_,격자_내_정류장수,법정동명,법정동_주민등록인구수,반경150m_정류장수,반경300m_정류장수,반경400m_정류장수,노선_수_,인가대수_대__합계_,배차간격_분__평균_,최소배차_분__평균_,최대배차_분__평균_,총승차인원
다사587503,37.55156894,127.0329986,342.0,708.36,0.0,응봉동,14593,5,25,35,2,0,14.29,17.51,24.54,3021.162871932904
다사579497,37.5461248,127.0239763,458.0,760.49,0.0,금호동4가,14021,5,13,24,1,203,16.54,13.22,14.75,10923.737038789874
다사613514,37.56159633,127.0623751,259.0,531.44,0.0,용답동,11989,2,5,8,0,2,10.68,7.1,13.51,-1399.9498672410173
다사608489,37.53904191,127.0568473,415.0,625.8,0.0,성수동2가,23518,4,12,22,1,43,21.87,12.38,17.54,5715.245765646525
다사579502,37.55063144,127.0239476,697.0,532.04,0.0,금호동3가,11670,0,17,32,8,127,13.11,10.6,11.84,34365.37209829945
다사585502,37.55065863,127.0307401,430.0,746.44,0.0,응봉동,14593,7,20,33,3,1,13.39,7.33,25.58,3698.5056904640082
다사580513,37.5605506,127.0250168,549.0,534.61,0.0,하왕십리동,29847,6,12,14,2,6,18.54,18.86,14.89,7101.259931890167
다사608486,37.53633791,127.0568633,213.0,925.08,0.0,성수동2가,23518,5,12,18,1,100,15.22,13.76,17.04,2920.7150555621356
다사581497,37.5461339,127.0262403,270.0,932.27,0.0,금호동4가,14021,2,15,18,4,10,14.98,13.25,24.13,3315.6718202295115
다사578501,37.54972554,127.0228213,444.0,572.51,0.0,금호동3가,11670,0,15,34,19,1,9.92,12.67,25.92,29914.422270222825
다사593499,37.54799029,127.0398133,216.0,643.39,0.0,성수동1가,27925,0,0,1,2,4,15.97,11.63,12.04,5577.5591259373205
다사617500,37.54899438,127.0669771,243.0,1084.06,0.0,송정동,9477,5,12,19,1,148,15.13,16.74,14.68,13485.910280057326
다사589504,37.5524792,127.0352572,362.0,739.03,0.0,응봉동,14593,4,18,33,7,3,12.64,12.43,20.05,9255.677082217018
다사586501,37.54976179,127.0318778,342.0,864.08,0.0,응봉동,14593,8,12,21,4,8,13.3,13.25,14.77,12136.047997933802
